,Cell_type,Cohort,Condition,Hemisphere,Image,Cell_number,Mean,Time,Cohort_mean
2,PNN-neg,#102319,WT,LH,1,1,1165.370714,6 wk,1375
3,PNN-neg,#102319,WT,LH,1,2,835.6672845,6 wk,1375
4,PNN-neg,#102319,WT,LH,1,3,1130.704356,6 wk,1375
5,PNN-neg,#102319,WT,LH,1,4,944.4800741,6 wk,1375
6,PNN-neg,#102319,WT,LH,2,1,804.8836886,6 wk,1375
7,PNN-neg,#102319,WT,LH,2,2,536.6385542,6 wk,1375
8,PNN-neg,#102319,WT,LH,2,3,700.2729379,6 wk,1375
9,PNN-neg,#102319,WT,LH,2,4,874.2372567,6 wk,1375
10,PNN-neg,#103119,WT,LH,1,1,481.4879518,6 wk,746
11,PNN-neg,#103119,WT,LH,1,2,540.1093605,6 wk,746
12,PNN-neg,#103119,WT,LH,1,3,384.0194625,6 wk,746
13,PNN-neg,#103119,WT,LH,1,4,355.3915663,6 wk,746
14,PNN-neg,#103119,WT,LH,2,1,480.8725672,6 wk,746
15,PNN-neg,#103119,WT,LH,2,2,554.4416126,6 wk,746
16,PNN-neg,#103119,WT,LH,2,3,485.4837813,6 wk,746
17,PNN-neg,#103119,WT,LH,2,4,628.5171455,6 wk,746
18,PNN-neg,#121119B,WT,LH,1,1,662.4898054,6 wk,1169
19,PNN-neg,#121119B,WT,LH,1,2,763.3512512,6 wk,1169
20,PNN-neg,#121119B,WT,LH,1,3,928.8169601,6 wk,1169
21,PNN-neg,#121119B,WT,LH,2,1,1041.212234,6 wk,1169
22,PNN-neg,#121119B,WT,LH,2,2,812.1719184,6 wk,1169
23,PNN-neg,#121119B,WT,LH,2,3,574.02595,6 wk,1169
24,PNN-neg,#102319,WT,RH,1,1,1317.879518,6 wk,1375
25,PNN-neg,#102319,WT,RH,1,2,1253.376738,6 wk,1375
26,PNN-neg,#102319,WT,RH,1,3,952.3577386,6 wk,1375
27,PNN-neg,#102319,WT,RH,1,4,1046.804449,6 wk,1375
28,PNN-neg,#102319,WT,RH,1,5,672.5162187,6 wk,1375
29,PNN-neg,#102319,WT,RH,2,1,1192.884615,6 wk,1375
30,PNN-neg,#102319,WT,RH,2,2,1121.986562,6 wk,1375
31,PNN-neg,#102319,WT,RH,2,3,769.18443,6 wk,1375
32,PNN-neg,#103119,WT,RH,1,1,495.3614458,6 wk,746
33,PNN-neg,#103119,WT,RH,1,2,369.9008341,6 wk,746
34,PNN-neg,#103119,WT,RH,1,3,452.521316,6 wk,746
35,PNN-neg,#103119,WT,RH,1,4,577.7177943,6 wk,746
36,PNN-neg,#103119,WT,RH,1,5,375.4958295,6 wk,746
37,PNN-neg,#103119,WT,RH,2,1,636.3952734,6 wk,746
38,PNN-neg,#103119,WT,RH,2,2,424.0361446,6 wk,746
39,PNN-neg,#103119,WT,RH,2,3,448.0542169,6 wk,746
40,PNN-neg,#103119,WT,RH,2,4,403.2933272,6 wk,746
41,PNN-neg,#103119,WT,RH,2,5,472.3489342,6 wk,746
42,PNN-neg,#121119B,WT,RH,1,1,841.2242817,6 wk,1169
43,PNN-neg,#121119B,WT,RH,1,2,722.8012048,6 wk,1169
44,PNN-neg,#121119B,WT,RH,1,3,743.055607,6 wk,1169
45,PNN-neg,#121119B,WT,RH,1,4,844.0671918,6 wk,1169
46,PNN-neg,#121119B,WT,RH,2,1,939.5903614,6 wk,1169
47,PNN-neg,#121119B,WT,RH,2,2,763.695088,6 wk,1169
48,PNN-neg,#121119B,WT,RH,2,3,549.4898054,6 wk,1169
104,PNN-neg,#102319,Het,LH,1,1,1116.355422,6 wk,2090
105,PNN-neg,#102319,Het,LH,1,2,1627.762743,6 wk,2090
106,PNN-neg,#102319,Het,LH,1,3,1659.851715,6 wk,2090
107,PNN-neg,#102319,Het,LH,1,4,1335.172845,6 wk,2090
108,PNN-neg,#102319,Het,LH,1,5,1356.845227,6 wk,2090
109,PNN-neg,#102319,Het,LH,2,1,952.4457831,6 wk,2090
110,PNN-neg,#102319,Het,LH,2,2,1018.440686,6 wk,2090
111,PNN-neg,#102319,Het,LH,2,3,811.9652456,6 wk,2090
112,PNN-neg,#102319,Het,LH,2,4,906.9026877,6 wk,2090
113,PNN-neg,#102319,Het,LH,2,5,1059.439759,6 wk,2090
114,PNN-neg,#103119,Het,LH,1,1,842.349861,6 wk,1113
115,PNN-neg,#103119,Het,LH,1,2,682.3109361,6 wk,1113
116,PNN-neg,#103119,Het,LH,1,3,786.8883225,6 wk,1113
117,PNN-neg,#103119,Het,LH,1,4,992.6297498,6 wk,1113
118,PNN-neg,#103119,Het,LH,1,5,591.2571826,6 wk,1113
119,PNN-neg,#103119,Het,LH,2,1,595.3327155,6 wk,1113
120,PNN-neg,#103119,Het,LH,2,2,763.7701576,6 wk,1113
121,PNN-neg,#103119,Het,LH,2,3,565.1139944,6 wk,1113
122,PNN-neg,#103119,Het,LH,2,4,546.5180723,6 wk,1113
123,PNN-neg,#103119,Het,LH,2,5,718.1167748,6 wk,1113
124,PNN-neg,#121119B,Het,LH,1,1,1011.462002,6 wk,1220
125,PNN-neg,#121119B,Het,LH,1,2,874.3989805,6 wk,1220
126,PNN-neg,#121119B,Het,LH,1,3,977.5037071,6 wk,1220
127,PNN-neg,#121119B,Het,LH,1,4,605.0004634,6 wk,1220
128,PNN-neg,#121119B,Het,LH,1,5,911.3387396,6 wk,1220
129,PNN-neg,#121119B,Het,LH,2,1,596.8809082,6 wk,1220
130,PNN-neg,#121119B,Het,LH,2,2,280.3480074,6 wk,1220
131,PNN-neg,#121119B,Het,LH,2,3,494.695088,6 wk,1220
132,PNN-neg,#121119B,Het,LH,2,4,395.2140871,6 wk,1220
133,PNN-neg,#102319,Het,RH,1,1,1245.310009,6 wk,2090
134,PNN-neg,#102319,Het,RH,1,2,1118.787766,6 wk,2090
135,PNN-neg,#102319,Het,RH,1,3,1175.752549,6 wk,2090
136,PNN-neg,#102319,Het,RH,1,4,929.1872104,6 wk,2090
137,PNN-neg,#102319,Het,RH,1,5,1033.947173,6 wk,2090
138,PNN-neg,#102319,Het,RH,2,1,1128.643188,6 wk,2090
139,PNN-neg,#102319,Het,RH,2,2,1012.462002,6 wk,2090
140,PNN-neg,#102319,Het,RH,2,3,1355.018999,6 wk,2090
141,PNN-neg,#102319,Het,RH,2,4,1164.066265,6 wk,2090
142,PNN-neg,#102319,Het,RH,2,5,1102.587118,6 wk,2090
143,PNN-neg,#103119,Het,RH,1,1,906.7715477,6 wk,1113
144,PNN-neg,#103119,Het,RH,1,2,571.3405931,6 wk,1113
145,PNN-neg,#103119,Het,RH,1,3,713.4059314,6 wk,1113
146,PNN-neg,#103119,Het,RH,1,4,873.3623726,6 wk,1113
147,PNN-neg,#103119,Het,RH,1,5,660.1107507,6 wk,1113
148,PNN-neg,#103119,Het,RH,2,1,356.265987,6 wk,1113
149,PNN-neg,#103119,Het,RH,2,2,541.1797961,6 wk,1113
150,PNN-neg,#103119,Het,RH,2,3,374.0593142,6 wk,1113
151,PNN-neg,#103119,Het,RH,2,4,433.5834106,6 wk,1113
152,PNN-neg,#121119B,Het,RH,1,1,1044.455978,6 wk,1220
153,PNN-neg,#121119B,Het,RH,1,2,875.7710843,6 wk,1220
154,PNN-neg,#121119B,Het,RH,1,3,900.0088044,6 wk,1220
155,PNN-neg,#121119B,Het,RH,1,4,573.334569,6 wk,1220
156,PNN-neg,#121119B,Het,RH,1,5,615.8540315,6 wk,1220
157,PNN-neg,#121119B,Het,RH,2,1,912.781279,6 wk,1220
158,PNN-neg,#121119B,Het,RH,2,2,937.0565338,6 wk,1220
159,PNN-neg,#121119B,Het,RH,2,3,583.2442076,6 wk,1220
160,PNN-neg,#121119B,Het,RH,2,4,705.8869323,6 wk,1220
161,PNN-neg,#121119B,Het,RH,2,5,591.8373494,6 wk,1220
