	Cohort	Condition	Hemisphere	Subregion	Map ID	Area	Weight 1	Weight 2	Mean 1	Mean 2	Variance 1	Variance 2	CV 1	CV 2	Index	$\Delta$ Mean	$\Delta$ Weight
0	102319	NW	Left	S1FL	19	0.608	0.3245565683220827	0.6754434316779128	31.389169226357083	83.62301170104116	44.5072693383423	980.7819032883394	0.2125375419033438	0.3745074118964929	0	52.23384247468408	0.3508868633558301
1	102319	NW	Left	S1FL	20	0.575	0.567356689284025	0.43264331071601037	35.034534244092086	78.48021434634074	126.79500878472733	923.7263292584105	0.3214065557038582	0.3872678824046026	1	43.44568010224866	-0.13471337856801469
2	102319	NW	Left	S1FL	23	0.605	0.6756031778172134	0.3243968221827145	35.487628074671505	73.31898016176456	146.44073517389117	609.6326011715662	0.34099968463370056	0.33675780983095044	2	37.83135208709305	-0.35120635563449887
3	102319	NW	Left	S1FL	23	0.634	0.4198242007323581	0.5801757992676436	32.65428567051056	76.82328231766571	73.23810112943269	584.7634629544226	0.26207666286104786	0.3147728425467423	3	44.168996647155154	0.16035159853528552
4	102319	NW	Left	S1FL	26	0.981	0.5554927752641885	0.44450722473585486	29.302865844529723	69.58892599598748	83.94029658578293	764.5529454396484	0.31266203692482153	0.3973412457401491	4	40.28606015145776	-0.11098555052833364
5	102319	NW	Left	S1FL	27	0.859	0.4482001932571644	0.5517998067429457	30.235230735248578	68.22702815815151	51.93031201198608	424.3622335527001	0.2383401337817414	0.30193392220780213	5	37.991797422902934	0.10359961348578128
6	102319	NW	Left	S1FL	29	1.186	0.5181760479045371	0.4818239520954832	25.183872925064357	54.46084965094571	47.465337210579094	451.7182048985086	0.27356829644738195	0.3902558161528337	6	29.276976725881354	-0.03635209580905391
7	102319	NW	Left	S1FL	32	1.049	0.5101699503615601	0.48983004963851823	30.80901015195519	65.54854352966967	75.0330681882126	505.69121363539335	0.2811568102142522	0.3430675631508682	7	34.73953337771448	-0.02033990072304187
8	102319	NW	Left	S1FL	32	1.005	0.5178020051498667	0.4821979948502885	26.373359905400502	59.448109374994665	54.08925403936518	562.5766014662411	0.2788624473914535	0.39898152433030404	8	33.07474946959417	-0.035604010299578215
9	102319	NW	Left	S1FL	32	1.18	0.5229560175566953	0.4770439824432677	35.5272086751487	65.88929681465491	92.53180009888872	338.4021321268008	0.27075994585303903	0.2791911661113358	9	30.362088139506213	-0.04591203511342762
10	102319	NW	Left	S1FL	33	1.009	0.4710797778531467	0.5289202221467747	29.73776157408247	58.30243042486666	53.97641849023413	334.0716731968138	0.24705506217505965	0.31349683942055395	10	28.564668850784187	0.057840444293628
11	102319	NW	Left	S1FL	35	0.952	0.6780189635521567	0.3219810364478635	28.362754439434944	59.58455716240962	87.17216073107032	474.8178920873923	0.32918535101418384	0.36570409369261064	11	31.221802722974672	-0.3560379271042932
12	102319	NW	Left	S1FL	35	0.953	0.5779397986753582	0.42206020132451266	31.71736749904062	61.252230436692365	98.1988130153943	345.5615786307362	0.3124323424034032	0.3034875061731132	12	29.534862937651745	-0.1558795973508455
13	102319	NW	Left	S1FL	36	0.869	0.7289782206865568	0.2710217793136829	34.304993363202605	65.87987909707942	130.93101202525764	402.1687569121717	0.33355228699677286	0.30440471209007774	13	31.57488573387682	-0.45795644137287395
14	102319	NW	Left	S1FL	38	0.783	0.7227398391963465	0.2772601608036255	32.07508031268166	65.44711013390625	109.50245828265966	455.38274052379967	0.32624523857296817	0.3260602134210997	14	33.37202982122459	-0.44547967839272107
15	102319	NW	Left	S1FL	38	0.821	0.6693141911350505	0.33068580886487103	31.70733438292924	56.700727524407206	96.96656822839344	391.7260152961208	0.3105641204508209	0.3490620027162091	15	24.993393141477966	-0.3386283822701795
16	102319	NW	Right	S1FL	22	0.387	0.6761128841429348	0.3238871158570638	26.39185891851009	42.95849649216346	63.66010720332494	222.32935002453632	0.30231778840728735	0.3470957740688538	16	16.566637573653374	-0.352225768285871
17	102319	NW	Right	S1FL	23	0.502	0.7836971180896946	0.21630288191036476	31.471310112644915	55.364784870413345	73.2021905630745	343.8632048020183	0.2718611916905343	0.33493400030928366	17	23.89347475776843	-0.5673942361793298
18	102319	NW	Right	S1FL	24	0.423	0.5834021708517468	0.41659782914833765	30.78497512305814	47.86470972974441	58.1679400431677	230.38685200417103	0.24774393708486325	0.3171125396600164	18	17.079734606686273	-0.1668043417034092
19	102319	NW	Right	S1FL	25	0.575	0.6962453955401264	0.30375460445987673	23.514816312531686	40.06173767653854	38.087723001716355	181.93077556212896	0.2624526211166688	0.33668463908792334	19	16.546921364006856	-0.3924907910802497
20	102319	NW	Right	S1FL	26	0.907	0.6627596566891497	0.33724034331098784	23.654155683468677	39.208535797104254	40.45756112516349	162.18011148609318	0.26890098843276694	0.32480160975995304	20	15.554380113635577	-0.32551931337816187
21	102319	NW	Right	S1FL	28	1.006	0.7797890190740381	0.2202109809258312	27.376108793698183	56.98398163364727	77.66781632642119	428.67055133801773	0.32192064511290613	0.36333650423423397	21	29.607872839949085	-0.559578038148207
22	102319	NW	Right	S1FL	29	0.888	0.6283703944971	0.37162960550294843	33.864942365840975	53.28314319924772	79.46951770794503	245.55371906559634	0.26323882757034517	0.2940921429484326	22	19.418200833406743	-0.25674078899415154
23	102319	NW	Right	S1FL	30	0.889	0.6508396473487011	0.3491603526512295	29.16171893767087	47.861425941459906	57.56122129566475	242.0567501531738	0.2601668028902525	0.32506706167127636	23	18.699707003789037	-0.3016792946974716
