	Cohort	Condition	Hemisphere	Map ID	Weight 1	Weight 2	Mean 1	Mean 2	Variance 1	Variance 2	CV 1	CV 2	Index	$\Delta$ Mean	$\Delta$ Weight
0	102319	NW	Left	29	0.646028519738164	0.35397148026187647	35.06753502057199	73.88546740852588	159.44133954273443	557.2953278285602	0.36007687251456805	0.31950942671321025	0	38.817932387953896	-0.2920570394762875
1	102319	NW	Left	32	0.32856053069510605	0.6714394693048664	32.403555554524615	75.8065260744175	62.446623548884105	571.8678248524343	0.24387192920478395	0.31545777526860347	1	43.40297051989289	0.3428789386097604
2	102319	NW	Left	32	0.5735340602405286	0.42646593975949787	36.889440196783355	78.40745803085726	177.82456771592618	617.3290878120521	0.3614879426047943	0.3168844995859569	2	41.5180178340739	-0.14706812048103068
3	102319	NW	Left	32	0.32202345897893825	0.6779765410210148	37.41312443559117	76.51172209771119	84.95792016636887	420.268715645987	0.24636440325253023	0.2679387669239445	3	39.098597662120014	0.35595308204207654
4	102319	NW	Left	32	0.31165264040109947	0.6883473595987186	31.54303094753247	74.308330236952	85.50925153900239	521.253677600386	0.29315893175381774	0.30724658434249563	4	42.76529928941953	0.37669471919761915
5	102319	NW	Left	33	0.31870099971968385	0.6812990002802835	33.01917369834397	75.01959435532676	93.50713118866331	477.22672269122785	0.2928573752088896	0.29119751577439207	5	42.00042065698279	0.3625980005605996
6	102319	NW	Left	35	0.3478953261030354	0.652104673897133	29.602834718360132	74.98487200256275	74.8753713048056	673.429959860423	0.2923049663120523	0.3460768604825036	6	45.382037284202625	0.3042093477940976
7	102319	NW	Left	35	0.3713089372403186	0.6286910627597136	37.15634397776868	78.765860147975	152.30924970314362	516.2245973543402	0.33214687032258283	0.28845716248492526	7	41.60951617020633	0.25738212551939504
8	102319	NW	Left	36	0.3543268903156988	0.645673109684175	32.21728626120213	73.25694611032476	97.75629539118684	423.79750642225525	0.3068904765278233	0.28101557339063893	8	41.03965984912263	0.2913462193684762
9	102319	NW	Left	38	0.41503241356640874	0.5849675864339159	33.204213399554895	74.53274995568357	120.40247213326778	544.3224371597033	0.33046426657352995	0.3130264046194781	9	41.328536556128675	0.16993517286750714
10	102319	NW	Left	38	0.3779179178523095	0.6220820821477137	30.349372262872546	71.37314924559686	90.67094428014964	528.1465548721544	0.313750449462383	0.3219899864147912	10	41.023776982724314	0.24416416429540416
11	102319	NW	Left	39	0.44014594314659244	0.5598540568530721	35.945879222313685	75.49139300577637	158.5793524332346	424.3271890856556	0.3503274833676092	0.2728682407756513	11	39.54551378346269	0.11970811370647966
12	102319	NW	Left	41	0.43037517028274364	0.5696248297174209	27.823913118234273	65.32125475816925	72.888137915229	468.56264868423654	0.30683876009670447	0.33138230502511296	12	37.49734163993497	0.13924965943467726
13	102319	NW	Left	41	0.43664176742532607	0.5633582325746398	30.98917148992624	70.46331372184575	86.74748555167143	439.40036603517234	0.30055121107350147	0.2974864190931691	13	39.474142231919515	0.12671646514931373
14	102319	NW	Left	42	0.4095647623204563	0.5904352376796017	30.610135367422153	67.18796342217266	100.86687254171271	380.63922764155694	0.3281021131720748	0.290379059723791	14	36.577828054750505	0.1808704753591454
15	102319	NW	Left	43	0.48777790882148675	0.5122220911786405	31.54556191129357	65.45748021005059	99.3710571843202	404.67403827468996	0.31600335048735156	0.30732181438376427	15	33.911918298757016	0.024444182357153732
16	102319	NW	Left	47	0.4632463261530206	0.536753673847111	40.122793612934665	74.73307959144114	140.10076696284946	372.5508848120556	0.2950048068887967	0.2582735432262057	16	34.610285978506475	0.07350734769409045
17	102319	NW	Right	29	0.3686094408998211	0.6313905591001073	31.88666876388786	77.10322077211697	42.993436436745796	695.6364253582576	0.20563258227909187	0.3420728747994974	17	45.21655200822911	0.2627811182002862
18	102319	NW	Right	30	0.37550727534494893	0.6244927246549957	27.7780821112897	72.87557260997865	37.526847422639555	724.4394729072949	0.22053056158051412	0.3693338156021892	18	45.09749049868895	0.2489854493100468
19	102319	NW	Right	30	0.31335435293518177	0.6866456470648522	22.055378048275262	63.15351520900056	22.92324555343249	774.2702815231231	0.21708186644116004	0.44060433540040805	19	41.0981371607253	0.37329129412967044
20	102319	NW	Right	32	0.3004430466667715	0.6995569533331935	28.9541175843225	71.24391153708727	51.166951651685686	621.6028869592786	0.24704976108669924	0.3499522222531215	20	42.28979395276477	0.39911390666642194
21	102319	NW	Right	32	0.32297219231391355	0.6770278076860554	25.90940721106401	65.90958405323366	21.835486149944227	917.8209891238076	0.1803532430450499	0.45965334156767435	21	40.00017684216965	0.35405561537214186
22	102319	NW	Right	33	0.3946785448952373	0.6053214551048431	23.39291856891364	65.034999249011	27.75566093876931	605.8830199053251	0.22521192240446541	0.3784837614205876	22	41.64208068009735	0.21064291020960585
23	102319	NW	Right	35	0.3672618065285025	0.6327381934714693	28.487524510303267	64.4815579987407	27.507636689463855	474.1904848604302	0.18410768960222582	0.33770764732127645	23	35.99403348843743	0.2654763869429668
24	102319	NW	Right	35	0.37891225710896637	0.6210877428910402	27.414307253277865	67.74063275082108	34.10837002582462	519.0785250617944	0.21303610195116915	0.3363312969371856	24	40.32632549754321	0.24217548578207382
25	102319	NW	Right	35	0.3656106448468034	0.6343893551531266	31.08408362126987	67.43716422202868	52.94049372759429	541.8050544403426	0.23407548128378206	0.3451614036745562	25	36.353080600758815	0.26877871030632317
26	102319	NW	Right	35	0.3576525031095546	0.6423474968904116	27.517963081258248	69.44994069031064	39.53512920146101	628.2849849479659	0.22849426153154634	0.36091627072586624	26	41.931977609052396	0.284694993780857
