	Cohort	Condition	Hemisphere	Subregion	Map ID	Area	Weight 1	Weight 2	Mean 1	Mean 2	Variance 1	Variance 2	CV 1	CV 2	Index	$\Delta$ Mean	$\Delta$ Weight
0	102319	NW	Left	S1FL	19	0.608	0.3264672022970283	0.6735327977029706	31.44664717012221	83.74332520448955	45.36837677297115	978.1752046021784	0.21419151988615115	0.3734720654226227	0	52.296678034367346	0.3470655954059423
1	102319	NW	Left	S1FL	20	0.575	0.5702292529709677	0.4297707470290633	35.115640920424845	78.66298873036622	128.35437049047442	923.6764547988881	0.3226299873372212	0.3863576302385402	1	43.54734780994138	-0.1404585059419044
2	102319	NW	Left	S1FL	23	0.605	0.6851665960651702	0.31483340393485587	35.701301777196704	74.00313551747799	150.39136742984923	606.2470538532855	0.3435005224920524	0.3327167761888547	2	38.30183374028128	-0.3703331921303143
3	102319	NW	Left	S1FL	23	0.634	0.419824200732349	0.5801757992676523	32.654285670510056	76.82328231766533	73.23810112942904	584.763462954448	0.26207666286104536	0.31477284254675075	3	44.168996647155275	0.16035159853530329
4	102319	NW	Left	S1FL	26	0.981	0.5507527844773003	0.44924721552277413	29.19202525542518	69.29975382888504	82.13476787744375	765.6619784690396	0.3104554519621897	0.3992885428353716	4	40.107728573459866	-0.10150556895452612
5	102319	NW	Left	S1FL	27	0.859	0.450680272014767	0.5493197279852033	30.281546652480763	68.36055509309966	52.496174106587915	421.9305812928042	0.23926863577040336	0.30047955084348776	5	38.0790084406189	0.09863945597043633
6	102319	NW	Left	S1FL	29	1.186	0.5181760479045364	0.48182395209552903	25.18387292505999	54.46084965094581	47.46533721055642	451.71820489852087	0.2735682964473641	0.3902558161528383	6	29.27697672588582	-0.03635209580900739
7	102319	NW	Left	S1FL	32	1.049	0.5099210862410037	0.49007891375907253	30.802834160922224	65.5373286921978	74.94192439850744	505.73355265620245	0.2810423335353021	0.3431406331732048	7	34.73449453127558	-0.01984217248193121
8	102319	NW	Left	S1FL	32	1.005	0.5178020051498854	0.48219799485028597	26.37335990539944	59.448109374995305	54.08925403936005	562.5766014662074	0.2788624473914515	0.3989815243302878	8	33.074749469595865	-0.03560401029959942
9	102319	NW	Left	S1FL	32	1.18	0.5229560175567851	0.47704398244323587	35.52720867514692	65.88929681465456	92.53180009891273	338.40213212686035	0.2707599458530877	0.2791911661113619	9	30.362088139507634	-0.04591203511354924
10	102319	NW	Left	S1FL	33	1.009	0.46637808962769267	0.5336219103722819	29.64151699433665	58.13486645827168	52.81073467149256	334.97005202010513	0.24516624668548795	0.3148228971353873	10	28.49334946393503	0.06724382074458923
11	102319	NW	Left	S1FL	35	0.952	0.6931287607150574	0.3068712392850521	28.672314717337755	60.42266103623228	92.01789666046614	477.70422399480503	0.3345595227920906	0.36172597247017657	11	31.750346318894522	-0.38625752143000525
12	102319	NW	Left	S1FL	35	0.953	0.6111502085999937	0.38884979140009984	32.407886644418454	62.689428032868776	107.97067634910488	338.1209448766388	0.32062855652491506	0.2933200359402296	12	30.28154138845032	-0.22230041719989385
13	102319	NW	Left	S1FL	36	0.869	0.6809523854016051	0.3190476145983558	33.486711772876205	62.87343298488197	118.91840491218399	416.29393186680306	0.3256507131118946	0.32451357292087357	13	29.386721212005767	-0.3619047708032493
14	102319	NW	Left	S1FL	38	0.783	0.7466207974773232	0.25337920252272444	32.50993038444238	67.31106715896543	116.42947653187737	444.0961658521251	0.33190625183526234	0.3130776287809711	14	34.80113677452305	-0.4932415949545988
15	102319	NW	Left	S1FL	38	0.821	0.6693141911350505	0.330685808864871	31.70733438292926	56.700727524407306	96.96656822839307	391.7260152961188	0.3105641204508201	0.3490620027162076	15	24.993393141478045	-0.33862838227017955
16	102319	NW	Right	S1FL	22	0.387	0.5023226658918886	0.4976773341079834	23.805108933536346	39.784278373531535	40.855956211576675	182.44162470059885	0.26850817732002596	0.3395083660868684	16	15.97916943999519	-0.004645331783905138
17	102319	NW	Right	S1FL	23	0.502	0.783697118089735	0.21630288191036356	31.47131011264388	55.36478487041164	73.20219056307282	343.86320480200175	0.2718611916905401	0.33493400030928594	17	23.89347475776776	-0.5673942361793713
18	102319	NW	Right	S1FL	24	0.423	0.6552688219733962	0.34473117802654907	31.79429931317788	49.506814335505396	68.25828101688238	247.19818735849597	0.25985340687299047	0.31758330185608163	18	17.712515022327516	-0.31053764394684713
19	102319	NW	Right	S1FL	25	0.575	0.6962453955401265	0.30375460445987645	23.514816312531465	40.06173767653891	38.08772300171567	181.93077556212674	0.26245262111666884	0.3366846390879182	19	16.546921364007446	-0.3924907910802501
20	102319	NW	Right	S1FL	26	0.907	0.3544441331103156	0.6455558668896394	19.314102901058035	34.1627283470808	7.363305735917225	127.83372380733559	0.1404953258231812	0.33095593411444907	20	14.848625446022766	0.2911117337793238
21	102319	NW	Right	S1FL	28	1.006	0.7537159273725366	0.24628407262740878	26.9629758995142	55.113848757146854	71.58540339101512	424.0423854625626	0.3137938406892802	0.37363185352932693	21	28.150872857632656	-0.5074318547451278
22	102319	NW	Right	S1FL	29	0.888	0.512508557406706	0.48749144259324584	31.948708258192394	50.68260105098924	59.897312066721014	227.4124718867216	0.24224251302264174	0.2975419770975991	22	18.733892792796848	-0.02501711481346014
23	102319	NW	Right	S1FL	30	0.889	0.7008224280105088	0.29917757198960615	29.78554442593156	49.524225919933045	64.19369647821239	249.8990376525135	0.2689927962841012	0.31920125908138464	23	19.738681494001487	-0.4016448560209026
