"","X","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_21_label"
"1",1,"z31-z40_NW-LW9-1.2-Map128_MergedMC",1,522,4.464,"P","0012-0077",64,0,"WT","NW",0.857142857142857
"2",2,"z31-z40_NW-LW9-1.2-Map128_MergedMC",2,1374,12.146,"P","0018-0213",191,0,"WT","NW",0.857142857142857
"3",3,"z31-z40_NW-LW9-1.2-Map128_MergedMC",3,85,2.541,"P","0003-0272",262,0,"WT","NW",0.857142857142857
"4",4,"z31-z40_NW-LW9-1.2-Map128_MergedMC",4,1380,14.814,"P","0035-0123",102,15,"WT","NW",0.857142857142857
"5",5,"z31-z40_NW-LW9-1.2-Map128_MergedMC",5,1223,12.525,"P","0045-0020",0,24,"WT","NW",0.857142857142857
"6",6,"z31-z40_NW-LW9-1.2-Map128_MergedMC",6,626,2.791,"P","0038-0377",355,28,"WT","NW",0.904761904761905
"7",7,"z31-z40_NW-LW9-1.2-Map128_MergedMC",7,1127,15.936,"P","0066-0243",220,49,"WT","NW",0.857142857142857
"8",8,"z31-z40_NW-LW9-1.2-Map128_MergedMC",8,1177,42.081,"P","0072-0327",308,50,"WT","NW",0.904761904761905
"9",9,"z31-z40_NW-LW9-1.2-Map128_MergedMC",9,132,16.97,"P","0066-0004",0,57,"WT","NW",0.857142857142857
"10",10,"z31-z40_NW-LW9-1.2-Map128_MergedMC",10,1440,24.859,"P","0081-0272",249,57,"WT","NW",0.857142857142857
"11",11,"z31-z40_NW-LW9-1.2-Map128_MergedMC",11,590,2.078,"N","0076-0163",149,60,"WT","NW",0.904761904761905
"12",12,"z31-z40_NW-LW9-1.2-Map128_MergedMC",12,483,6.385,"N","0085-0347",334,69,"WT","NW",0.952380952380952
"13",13,"z31-z40_NW-LW9-1.2-Map128_MergedMC",13,1931,59.177,"P","0104-0040",16,79,"WT","NW",0.857142857142857
"14",14,"z31-z40_NW-LW9-1.2-Map128_MergedMC",14,917,16.826,"P","0100-0363",344,82,"WT","NW",0.904761904761905
