"","X","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_9_label"
"1",115,"z6-z15_NW-LW9-1.4-Map128_MergedMC",1,83.434,34.594,"P","0016-0026",4,0,"WT","NW",0.777777777777778
"2",116,"z6-z15_NW-LW9-1.4-Map128_MergedMC",2,89.48,34.333,"P","0017-0217",195,0,"WT","NW",0.666666666666667
"3",117,"z6-z15_NW-LW9-1.4-Map128_MergedMC",3,124.12,106.285,"P","0033-0272",247,10,"WT","NW",0.666666666666667
"4",118,"z6-z15_NW-LW9-1.4-Map128_MergedMC",4,65.154,13.811,"N","0035-0352",337,16,"WT","NW",0.888888888888889
"5",119,"z6-z15_NW-LW9-1.4-Map128_MergedMC",5,36.774,11.799,"N","0035-0073",57,25,"WT","NW",0.888888888888889
"6",120,"z6-z15_NW-LW9-1.4-Map128_MergedMC",6,42.322,16.41,"P","0046-0122",110,29,"WT","NW",0.777777777777778
"7",121,"z6-z15_NW-LW9-1.4-Map128_MergedMC",7,145.174,51.299,"P","0053-0179",148,31,"WT","NW",0.555555555555556
"8",122,"z6-z15_NW-LW9-1.4-Map128_MergedMC",8,83.79,26.264,"P","0057-0381",364,35,"WT","NW",0.777777777777778
"9",123,"z6-z15_NW-LW9-1.4-Map128_MergedMC",9,73.761,51.591,"P","0061-0083",65,43,"WT","NW",0.777777777777778
"10",124,"z6-z15_NW-LW9-1.4-Map128_MergedMC",10,95.313,41.9,"P","0069-0037",18,46,"WT","NW",0.777777777777778
"11",125,"z6-z15_NW-LW9-1.4-Map128_MergedMC",11,43.389,19.262,"N","0088-0018",0,75,"WT","NW",0.888888888888889
"12",126,"z6-z15_NW-LW9-1.4-Map128_MergedMC",12,72.836,34.214,"P","0094-0382",365,75,"WT","NW",0.666666666666667
"13",127,"z6-z15_NW-LW9-1.4-Map128_MergedMC",13,113.664,37.608,"P","0096-0337",310,78,"WT","NW",0.666666666666667
"14",128,"z6-z15_NW-LW9-1.4-Map128_MergedMC",14,86.279,40.768,"P","0105-0189",169,86,"WT","NW",0.555555555555556
"15",129,"z6-z15_NW-LW9-1.4-Map128_MergedMC",15,37.343,13.088,"N","0104-0219",207,90,"WT","NW",0.666666666666667
"16",130,"z6-z15_NW-LW9-1.4-Map128_MergedMC",16,57.045,30.589,"P","0110-0068",51,95,"WT","NW",0.666666666666667
"17",131,"z6-z15_NW-LW9-1.4-Map128_MergedMC",17,51.497,17.468,"P","0110-0020",4,97,"WT","NW",0.777777777777778
"18",132,"z6-z15_NW-LW9-1.4-Map128_MergedMC",18,122.911,147.641,"P","0130-0099",77,106,"WT","NW",0.666666666666667
"19",133,"z6-z15_NW-LW9-1.4-Map128_MergedMC",19,136.994,44.117,"P","0143-0278",258,112,"WT","NW",0.555555555555556
"20",134,"z6-z15_NW-LW9-1.4-Map128_MergedMC",20,69.208,33.487,"P","0141-0332",314,122,"WT","NW",0.666666666666667
"21",135,"z6-z15_NW-LW9-1.4-Map128_MergedMC",21,20.983,9.2,"N","0134-0131",123,123,"WT","NW",0.777777777777778
"22",136,"z6-z15_NW-LW9-1.4-Map128_MergedMC",22,65.439,48.58,"P","0140-0017",0,124,"WT","NW",0.777777777777778
"23",137,"z6-z15_NW-LW9-1.4-Map128_MergedMC",23,64.941,8.944,"N","0148-0165",145,131,"WT","NW",0.666666666666667
"24",138,"z6-z15_NW-LW9-1.4-Map128_MergedMC",24,38.267,9.849,"N","0145-0246",234,131,"WT","NW",0.555555555555556
"25",139,"z6-z15_NW-LW9-1.4-Map128_MergedMC",25,101.572,112.254,"P","0162-0353",330,140,"WT","NW",0.666666666666667
"26",140,"z6-z15_NW-LW9-1.4-Map128_MergedMC",26,58.112,30.876,"P","0173-0385",371,155,"WT","NW",0.888888888888889
"27",141,"z6-z15_NW-LW9-1.4-Map128_MergedMC",27,83.861,43.42,"P","0196-0105",85,177,"WT","NW",0.777777777777778
"28",142,"z6-z15_NW-LW9-1.4-Map128_MergedMC",28,96.38,36.598,"P","0206-0065",46,180,"WT","NW",0.888888888888889
"29",143,"z6-z15_NW-LW9-1.4-Map128_MergedMC",29,70.56,16.823,"P","0212-0164",145,196,"WT","NW",0.777777777777778
"30",144,"z6-z15_NW-LW9-1.4-Map128_MergedMC",30,30.372,8.773,"N","0220-0258",248,205,"WT","NW",0.666666666666667
"31",145,"z6-z15_NW-LW9-1.4-Map128_MergedMC",31,82.865,34.326,"P","0256-0162",143,238,"WT","NW",0.777777777777778
"32",146,"z6-z15_NW-LW9-1.4-Map128_MergedMC",32,160.822,84.539,"P","0277-0290",264,247,"WT","NW",0.666666666666667
"33",147,"z6-z15_NW-LW9-1.4-Map128_MergedMC",33,82.296,39.971,"P","0286-0124",104,268,"WT","NW",1
"34",148,"z6-z15_NW-LW9-1.4-Map128_MergedMC",34,66.79,34.948,"P","0299-0371",353,282,"WT","NW",0.777777777777778
"35",149,"z6-z15_NW-LW9-1.4-Map128_MergedMC",35,91.472,15.273,"P","0320-0258",231,303,"WT","NW",0.666666666666667
"36",150,"z6-z15_NW-LW9-1.4-Map128_MergedMC",36,16.217,19.373,"P","0318-0005",0,305,"WT","NW",1
"37",151,"z6-z15_NW-LW9-1.4-Map128_MergedMC",37,88.342,32.472,"P","0335-0071",51,316,"WT","NW",1
"38",152,"z6-z15_NW-LW9-1.4-Map128_MergedMC",38,86.92,32.64,"P","0334-0142",121,316,"WT","NW",0.888888888888889
"39",153,"z6-z15_NW-LW9-1.4-Map128_MergedMC",39,87.773,20.011,"P","0351-0378",358,326,"WT","NW",0.777777777777778
"40",154,"z6-z15_NW-LW9-1.4-Map128_MergedMC",40,100.861,33.091,"P","0354-0247",227,331,"WT","NW",0.777777777777778
"41",155,"z6-z15_NW-LW9-1.4-Map128_MergedMC",41,77.459,26.731,"P","0350-0306",288,332,"WT","NW",0.777777777777778
"42",156,"z6-z15_NW-LW9-1.4-Map128_MergedMC",42,74.828,37.65,"P","0384-0360",339,369,"WT","NW",0.888888888888889
"43",157,"z6-z15_NW-LW9-1.4-Map128_MergedMC",43,72.054,45.513,"P","0259-0235",218,241,"WT","NW",0.666666666666667
"44",158,"z6-z15_NW-LW9-1.4-Map128_MergedMC",44,18.778,3.765,"N","0245-0249",240,232,"WT","NW",0.777777777777778
"45",159,"z6-z15_NW-LW9-1.4-Map128_MergedMC",45,32.15,27.52,"P","0256-0009",0,240,"WT","NW",1
"46",160,"z6-z15_NW-LW9-1.4-Map128_MergedMC",46,47.23,14.574,"N","0042-0310",294,30,"WT","NW",0.777777777777778
"47",161,"z6-z15_NW-LW9-1.4-Map128_MergedMC",47,26.602,17.241,"N","0217-0362",347,201,"WT","NW",0.777777777777778
"48",162,"z6-z15_NW-LW9-1.4-Map128_MergedMC",48,101.572,123.857,"P","0229-0339",317,207,"WT","NW",0.666666666666667
"49",163,"z6-z15_NW-LW9-1.4-Map128_MergedMC",49,88.129,25.07,"P","0278-0086",72,248,"WT","NW",1
"50",164,"z6-z15_NW-LW9-1.4-Map128_MergedMC",50,35.28,48.145,"P","0252-0087",68,239,"WT","NW",1
"51",165,"z6-z15_NW-LW9-1.4-Map128_MergedMC",51,81.514,37.829,"P","0381-0192",171,364,"WT","NW",0.888888888888889
"52",166,"z6-z15_NW-LW9-1.4-Map128_MergedMC",52,26.104,13.008,"N","0365-0208",196,352,"WT","NW",1
