"","X","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_3_label"
"1",301,"z19-z28_SH-LW10-2.2-Map128_MergedMC",1,29.59,19.635,"N","0011-0156",144,0,"HET","SH",0.666666666666667
"2",302,"z19-z28_SH-LW10-2.2-Map128_MergedMC",2,78.242,51.388,"P","0018-0200",181,0,"HET","SH",0.333333333333333
"3",303,"z19-z28_SH-LW10-2.2-Map128_MergedMC",3,15.15,10.427,"N","0019-0004",0,3,"HET","SH",0.666666666666667
"4",304,"z19-z28_SH-LW10-2.2-Map128_MergedMC",4,48.866,47.146,"P","0024-0037",21,10,"HET","SH",0.333333333333333
"5",305,"z19-z28_SH-LW10-2.2-Map128_MergedMC",5,34.995,17.203,"N","0025-0353",342,10,"HET","SH",0.333333333333333
"6",306,"z19-z28_SH-LW10-2.2-Map128_MergedMC",6,31.51,20.42,"N","0029-0386",373,17,"HET","SH",0.333333333333333
"7",307,"z19-z28_SH-LW10-2.2-Map128_MergedMC",7,67.786,49.119,"P","0035-0301",283,18,"HET","SH",0
"8",308,"z19-z28_SH-LW10-2.2-Map128_MergedMC",8,89.053,16.685,"N","0048-0233",211,28,"HET","SH",1
"9",309,"z19-z28_SH-LW10-2.2-Map128_MergedMC",9,33.715,20.274,"N","0052-0336",322,41,"HET","SH",0.333333333333333
"10",310,"z19-z28_SH-LW10-2.2-Map128_MergedMC",10,69.991,30.761,"P","0075-0211",192,59,"HET","SH",0.666666666666667
"11",311,"z19-z28_SH-LW10-2.2-Map128_MergedMC",11,117.718,195.321,"P","0106-0261",237,84,"HET","SH",0.666666666666667
"12",312,"z19-z28_SH-LW10-2.2-Map128_MergedMC",12,78.953,52.923,"P","0105-0085",65,87,"HET","SH",0.333333333333333
"13",313,"z19-z28_SH-LW10-2.2-Map128_MergedMC",13,42.322,21.062,"N","0115-0333",318,101,"HET","SH",0.666666666666667
"14",314,"z19-z28_SH-LW10-2.2-Map128_MergedMC",14,63.66,63.455,"P","0127-0359",340,110,"HET","SH",0.666666666666667
"15",315,"z19-z28_SH-LW10-2.2-Map128_MergedMC",15,69.137,53.049,"P","0131-0202",185,112,"HET","SH",0.333333333333333
"16",316,"z19-z28_SH-LW10-2.2-Map128_MergedMC",16,40.899,31.367,"N","0133-0282",268,116,"HET","SH",1
"17",317,"z19-z28_SH-LW10-2.2-Map128_MergedMC",17,36.276,21.357,"N","0130-0161",147,119,"HET","SH",0.666666666666667
"18",318,"z19-z28_SH-LW10-2.2-Map128_MergedMC",18,81.514,60.638,"P","0139-0105",86,121,"HET","SH",0.666666666666667
"19",319,"z19-z28_SH-LW10-2.2-Map128_MergedMC",19,105.484,213.883,"P","0156-0303",279,133,"HET","SH",0.666666666666667
"20",320,"z19-z28_SH-LW10-2.2-Map128_MergedMC",20,42.464,63.91,"P","0159-0389",380,139,"HET","SH",0.666666666666667
"21",321,"z19-z28_SH-LW10-2.2-Map128_MergedMC",21,58.183,14.326,"N","0159-0161",146,142,"HET","SH",0.333333333333333
"22",322,"z19-z28_SH-LW10-2.2-Map128_MergedMC",22,53.987,43.319,"P","0175-0012",0,152,"HET","SH",0.333333333333333
"23",323,"z19-z28_SH-LW10-2.2-Map128_MergedMC",23,69.137,42.082,"P","0172-0267",250,153,"HET","SH",0.666666666666667
