"","X","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_9_label"
"1",76,"z3-z12_SW-LW9-3.2-Map128_MergedMC",1,23.828,15.322,"P","0006-0018",2,0,"WT","SW",0.555555555555556
"2",77,"z3-z12_SW-LW9-3.2-Map128_MergedMC",2,61.313,13.5,"P","0013-0297",277,0,"WT","SW",0.777777777777778
"3",78,"z3-z12_SW-LW9-3.2-Map128_MergedMC",3,17.284,9.601,"P","0006-0368",353,0,"WT","SW",0.555555555555556
"4",79,"z3-z12_SW-LW9-3.2-Map128_MergedMC",4,40.686,2.607,"N","0025-0270",259,10,"WT","SW",0.777777777777778
"5",80,"z3-z12_SW-LW9-3.2-Map128_MergedMC",5,81.727,15.707,"P","0032-0168",150,13,"WT","SW",0.777777777777778
"6",81,"z3-z12_SW-LW9-3.2-Map128_MergedMC",6,76.535,15.743,"P","0038-0208",191,17,"WT","SW",0.777777777777778
"7",82,"z3-z12_SW-LW9-3.2-Map128_MergedMC",7,92.041,15.212,"P","0039-0332",311,20,"WT","SW",0.666666666666667
"8",83,"z3-z12_SW-LW9-3.2-Map128_MergedMC",8,44.242,10.523,"P","0035-0379",366,21,"WT","SW",0.666666666666667
"9",84,"z3-z12_SW-LW9-3.2-Map128_MergedMC",9,87.844,64.647,"P","0055-0252",235,30,"WT","SW",0.666666666666667
"10",85,"z3-z12_SW-LW9-3.2-Map128_MergedMC",10,8.82,1.669,"N","0045-0003",0,35,"WT","SW",0.666666666666667
"11",86,"z3-z12_SW-LW9-3.2-Map128_MergedMC",11,77.317,46.156,"P","0060-0085",67,40,"WT","SW",0.555555555555556
"12",87,"z3-z12_SW-LW9-3.2-Map128_MergedMC",12,80.376,15.305,"P","0067-0220",202,45,"WT","SW",0.777777777777778
"13",88,"z3-z12_SW-LW9-3.2-Map128_MergedMC",13,107.334,16.29,"P","0073-0179",157,50,"WT","SW",0.888888888888889
"14",89,"z3-z12_SW-LW9-3.2-Map128_MergedMC",14,29.518,3.99,"N","0062-0321",307,52,"WT","SW",0.777777777777778
"15",90,"z3-z12_SW-LW9-3.2-Map128_MergedMC",15,90.405,15.88,"P","0085-0292",271,66,"WT","SW",0.555555555555556
"16",91,"z3-z12_SW-LW9-3.2-Map128_MergedMC",16,20.983,5.668,"N","0085-0069",59,75,"WT","SW",0.666666666666667
"17",92,"z3-z12_SW-LW9-3.2-Map128_MergedMC",17,102.07,19.436,"P","0102-0121",100,81,"WT","SW",0.777777777777778
"18",93,"z3-z12_SW-LW9-3.2-Map128_MergedMC",18,66.15,4.315,"N","0105-0025",0,92,"WT","SW",0.666666666666667
"19",94,"z3-z12_SW-LW9-3.2-Map128_MergedMC",19,27.883,15.531,"P","0102-0064",51,93,"WT","SW",0.555555555555556
"20",95,"z3-z12_SW-LW9-3.2-Map128_MergedMC",20,38.979,7.363,"N","0114-0277",263,101,"WT","SW",0.666666666666667
"21",96,"z3-z12_SW-LW9-3.2-Map128_MergedMC",21,33.715,2.93,"N","0125-0087",73,112,"WT","SW",0.777777777777778
"22",97,"z3-z12_SW-LW9-3.2-Map128_MergedMC",22,17.213,1.93,"N","0133-0392",385,121,"WT","SW",0.777777777777778
"23",98,"z3-z12_SW-LW9-3.2-Map128_MergedMC",23,77.886,89.186,"P","0142-0199",180,124,"WT","SW",0.777777777777778
"24",99,"z3-z12_SW-LW9-3.2-Map128_MergedMC",24,51.782,16.872,"P","0147-0172",157,127,"WT","SW",0.777777777777778
"25",100,"z3-z12_SW-LW9-3.2-Map128_MergedMC",25,93.89,68.277,"P","0150-0322",301,130,"WT","SW",0.555555555555556
"26",101,"z3-z12_SW-LW9-3.2-Map128_MergedMC",26,76.179,17.466,"P","0153-0097",77,136,"WT","SW",0.666666666666667
"27",102,"z3-z12_SW-LW9-3.2-Map128_MergedMC",27,42.82,3.892,"N","0154-0256",239,142,"WT","SW",0.666666666666667
"28",103,"z3-z12_SW-LW9-3.2-Map128_MergedMC",28,58.468,14.558,"P","0163-0383",368,145,"WT","SW",0.555555555555556
"29",104,"z3-z12_SW-LW9-3.2-Map128_MergedMC",29,51.711,6.966,"P","0172-0220",202,160,"WT","SW",0.666666666666667
"30",105,"z3-z12_SW-LW9-3.2-Map128_MergedMC",30,12.59,3.576,"N","0175-0278",268,169,"WT","SW",0.666666666666667
