"","X","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_21_label"
"1",146,"z12-z21_SW-LW10-2.1-Map128_MergedMC",1,32.435,15.193,"P","0013-0051",40,0,"WT","SW",0.619047619047619
"2",147,"z12-z21_SW-LW10-2.1-Map128_MergedMC",2,6.544,85.652,"P","0003-0073",63,0,"WT","SW",0.619047619047619
"3",148,"z12-z21_SW-LW10-2.1-Map128_MergedMC",3,90.547,58.57,"P","0021-0155",136,0,"WT","SW",0.476190476190476
"4",149,"z12-z21_SW-LW10-2.1-Map128_MergedMC",4,4.766,7.582,"P","0003-0179",170,0,"WT","SW",0.476190476190476
"5",150,"z12-z21_SW-LW10-2.1-Map128_MergedMC",5,24.255,10.713,"P","0008-0217",203,0,"WT","SW",0.476190476190476
"6",151,"z12-z21_SW-LW10-2.1-Map128_MergedMC",6,42.322,5.25,"N","0020-0020",7,4,"WT","SW",0.666666666666667
"7",152,"z12-z21_SW-LW10-2.1-Map128_MergedMC",7,47.301,5.653,"N","0022-0316",303,7,"WT","SW",0.476190476190476
"8",154,"z12-z21_SW-LW10-2.1-Map128_MergedMC",9,115.371,17.411,"P","0042-0286",264,19,"WT","SW",0.428571428571429
"9",155,"z12-z21_SW-LW10-2.1-Map128_MergedMC",10,52.351,6.076,"N","0039-0230",214,22,"WT","SW",0.476190476190476
"10",156,"z12-z21_SW-LW10-2.1-Map128_MergedMC",11,43.815,4.594,"N","0040-0371",357,26,"WT","SW",0.476190476190476
"11",157,"z12-z21_SW-LW10-2.1-Map128_MergedMC",12,52.137,4.683,"N","0045-0343",330,27,"WT","SW",0.476190476190476
"12",158,"z12-z21_SW-LW10-2.1-Map128_MergedMC",13,99.367,18.644,"P","0056-0132",111,35,"WT","SW",0.571428571428571
"13",159,"z12-z21_SW-LW10-2.1-Map128_MergedMC",14,27.1,14.814,"P","0054-0048",33,44,"WT","SW",0.619047619047619
"14",160,"z12-z21_SW-LW10-2.1-Map128_MergedMC",15,62.096,13.393,"P","0070-0250",232,54,"WT","SW",0.380952380952381
"15",161,"z12-z21_SW-LW10-2.1-Map128_MergedMC",16,103.208,17.742,"P","0076-0088",66,55,"WT","SW",0.619047619047619
"16",162,"z12-z21_SW-LW10-2.1-Map128_MergedMC",17,59.535,33.674,"P","0087-0361",344,71,"WT","SW",0.380952380952381
"17",163,"z12-z21_SW-LW10-2.1-Map128_MergedMC",18,41.326,4.053,"N","0085-0328",313,73,"WT","SW",0.476190476190476
"18",164,"z12-z21_SW-LW10-2.1-Map128_MergedMC",19,43.175,5.921,"N","0095-0141",129,77,"WT","SW",0.619047619047619
"19",165,"z12-z21_SW-LW10-2.1-Map128_MergedMC",20,62.665,9.156,"N","0113-0114",97,97,"WT","SW",0.666666666666667
"20",166,"z12-z21_SW-LW10-2.1-Map128_MergedMC",21,62.167,6.772,"N","0117-0080",65,100,"WT","SW",0.666666666666667
"21",167,"z12-z21_SW-LW10-2.1-Map128_MergedMC",22,13.088,14.69,"P","0122-0329",322,114,"WT","SW",0.380952380952381
