"","X","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_21_label"
"1",1,"z1-z10_SW-RW9-1.3-Map128_MergedMC",1,65.367,12.827,"P","0014-0046",25,0,"WT","SW",0.904761904761905
"2",2,"z1-z10_SW-RW9-1.3-Map128_MergedMC",2,82.438,13.315,"P","0018-0199",179,0,"WT","SW",0.904761904761905
"3",3,"z1-z10_SW-RW9-1.3-Map128_MergedMC",3,42.891,11.512,"P","0008-0246",223,0,"WT","SW",0.904761904761905
"4",4,"z1-z10_SW-RW9-1.3-Map128_MergedMC",4,35.849,4.032,"P","0011-0313",300,0,"WT","SW",0.904761904761905
"5",5,"z1-z10_SW-RW9-1.3-Map128_MergedMC",5,4.41,8.435,"P","0006-0393",389,2,"WT","SW",0.952380952380952
"6",6,"z1-z10_SW-RW9-1.3-Map128_MergedMC",6,72.409,4.897,"P","0025-0356",338,7,"WT","SW",0.904761904761905
"7",7,"z1-z10_SW-RW9-1.3-Map128_MergedMC",7,37.983,9.491,"P","0030-0009",0,11,"WT","SW",0.904761904761905
"8",8,"z1-z10_SW-RW9-1.3-Map128_MergedMC",8,13.017,2.432,"N","0020-0160",154,11,"WT","SW",0.952380952380952
"9",9,"z1-z10_SW-RW9-1.3-Map128_MergedMC",9,34,2.111,"N","0034-0184",171,20,"WT","SW",0.952380952380952
"10",10,"z1-z10_SW-RW9-1.3-Map128_MergedMC",10,60.388,6.494,"P","0043-0034",16,27,"WT","SW",0.904761904761905
"11",11,"z1-z10_SW-RW9-1.3-Map128_MergedMC",11,67.999,17.004,"P","0044-0132",112,27,"WT","SW",0.904761904761905
"12",12,"z1-z10_SW-RW9-1.3-Map128_MergedMC",12,68.141,11.824,"P","0046-0283",265,28,"WT","SW",0.904761904761905
"13",13,"z1-z10_SW-RW9-1.3-Map128_MergedMC",13,37.983,2.592,"P","0050-0313",300,36,"WT","SW",0.904761904761905
"14",14,"z1-z10_SW-RW9-1.3-Map128_MergedMC",14,61.384,10.533,"P","0062-0118",99,45,"WT","SW",0.904761904761905
"15",15,"z1-z10_SW-RW9-1.3-Map128_MergedMC",15,27.313,3.216,"P","0060-0180",169,50,"WT","SW",0.904761904761905
"16",16,"z1-z10_SW-RW9-1.3-Map128_MergedMC",16,40.046,2.812,"P","0065-0293",278,50,"WT","SW",0.904761904761905
"17",17,"z1-z10_SW-RW9-1.3-Map128_MergedMC",17,67.359,13.07,"P","0077-0379",362,59,"WT","SW",1
"18",18,"z1-z10_SW-RW9-1.3-Map128_MergedMC",18,78.882,58.911,"P","0088-0158",139,67,"WT","SW",0.904761904761905
"19",19,"z1-z10_SW-RW9-1.3-Map128_MergedMC",19,26.247,9.198,"P","0093-0007",0,73,"WT","SW",0.952380952380952
"20",20,"z1-z10_SW-RW9-1.3-Map128_MergedMC",20,86.279,14.889,"P","0095-0302",281,78,"WT","SW",0.952380952380952
"21",21,"z1-z10_SW-RW9-1.3-Map128_MergedMC",21,31.368,13.229,"P","0096-0387",376,82,"WT","SW",1
"22",22,"z1-z10_SW-RW9-1.3-Map128_MergedMC",22,44.811,2.346,"P","0100-0024",12,84,"WT","SW",0.952380952380952
"23",23,"z1-z10_SW-RW9-1.3-Map128_MergedMC",23,70.987,11.859,"P","0101-0107",89,84,"WT","SW",0.904761904761905
"24",24,"z1-z10_SW-RW9-1.3-Map128_MergedMC",24,59.25,14.854,"P","0108-0143",125,91,"WT","SW",0.904761904761905
"25",25,"z1-z10_SW-RW9-1.3-Map128_MergedMC",25,83.221,5.709,"P","0109-0237",217,91,"WT","SW",0.904761904761905
"26",26,"z1-z10_SW-RW9-1.3-Map128_MergedMC",26,74.97,16.011,"P","0120-0061",42,103,"WT","SW",1
"27",27,"z1-z10_SW-RW9-1.3-Map128_MergedMC",27,27.598,3.026,"P","0119-0388",377,107,"WT","SW",1
"28",28,"z1-z10_SW-RW9-1.3-Map128_MergedMC",28,76.464,14.525,"P","0140-0125",108,122,"WT","SW",0.904761904761905
"29",29,"z1-z10_SW-RW9-1.3-Map128_MergedMC",29,53.987,6.144,"P","0143-0014",0,127,"WT","SW",1
"30",30,"z1-z10_SW-RW9-1.3-Map128_MergedMC",30,115.087,14.003,"P","0148-0188",159,128,"WT","SW",0.904761904761905
"31",31,"z1-z10_SW-RW9-1.3-Map128_MergedMC",31,60.175,8.187,"P","0147-0358",342,131,"WT","SW",1
"32",32,"z1-z10_SW-RW9-1.3-Map128_MergedMC",32,49.932,7.822,"P","0150-0387",376,131,"WT","SW",1
"33",33,"z1-z10_SW-RW9-1.3-Map128_MergedMC",33,103.066,11.415,"P","0151-0067",39,132,"WT","SW",1
"34",34,"z1-z10_SW-RW9-1.3-Map128_MergedMC",34,48.154,2.905,"P","0160-0161",145,146,"WT","SW",1
"35",35,"z1-z10_SW-RW9-1.3-Map128_MergedMC",35,91.756,40.299,"P","0169-0312",293,148,"WT","SW",1
"36",36,"z1-z10_SW-RW9-1.3-Map128_MergedMC",36,22.761,2.844,"P","0158-0254",243,149,"WT","SW",1
"37",37,"z1-z10_SW-RW9-1.3-Map128_MergedMC",37,98.229,11.938,"P","0178-0055",31,157,"WT","SW",1
"38",38,"z1-z10_SW-RW9-1.3-Map128_MergedMC",38,79.878,14.404,"P","0184-0251",232,166,"WT","SW",1
"39",39,"z1-z10_SW-RW9-1.3-Map128_MergedMC",39,64.087,9.788,"P","0201-0081",63,184,"WT","SW",1
"40",40,"z1-z10_SW-RW9-1.3-Map128_MergedMC",40,58.397,3.428,"P","0203-0179",165,185,"WT","SW",1
"41",41,"z1-z10_SW-RW9-1.3-Map128_MergedMC",41,71.342,11.185,"P","0203-0023",4,186,"WT","SW",1
"42",42,"z1-z10_SW-RW9-1.3-Map128_MergedMC",42,17.924,2.492,"P","0196-0335",327,186,"WT","SW",1
"43",43,"z1-z10_SW-RW9-1.3-Map128_MergedMC",43,87.702,14.058,"P","0216-0127",106,197,"WT","SW",1
"44",44,"z1-z10_SW-RW9-1.3-Map128_MergedMC",44,68.07,9.661,"P","0221-0249",231,202,"WT","SW",1
"45",45,"z1-z10_SW-RW9-1.3-Map128_MergedMC",45,67.217,11.914,"P","0236-0279",264,216,"WT","SW",1
"46",46,"z1-z10_SW-RW9-1.3-Map128_MergedMC",46,63.803,10.613,"P","0239-0015",0,220,"WT","SW",1
"47",47,"z1-z10_SW-RW9-1.3-Map128_MergedMC",47,38.908,4.74,"P","0235-0190",177,221,"WT","SW",1
"48",48,"z1-z10_SW-RW9-1.3-Map128_MergedMC",48,54.912,14.207,"P","0240-0240",223,224,"WT","SW",1
"49",49,"z1-z10_SW-RW9-1.3-Map128_MergedMC",49,50.502,5.655,"P","0246-0329",314,232,"WT","SW",1
"50",50,"z1-z10_SW-RW9-1.3-Map128_MergedMC",50,81.727,10.764,"P","0260-0157",138,241,"WT","SW",1
"51",51,"z1-z10_SW-RW9-1.3-Map128_MergedMC",51,76.819,15.031,"P","0261-0073",55,242,"WT","SW",1
"52",52,"z1-z10_SW-RW9-1.3-Map128_MergedMC",52,87.773,13.155,"P","0272-0105",85,252,"WT","SW",1
"53",53,"z1-z10_SW-RW9-1.3-Map128_MergedMC",53,17.711,1.827,"P","0265-0331",319,258,"WT","SW",1
"54",54,"z1-z10_SW-RW9-1.3-Map128_MergedMC",54,109.539,7.976,"P","0289-0037",18,263,"WT","SW",1
"55",55,"z1-z10_SW-RW9-1.3-Map128_MergedMC",55,46.02,9.066,"P","0292-0009",0,269,"WT","SW",1
"56",56,"z1-z10_SW-RW9-1.3-Map128_MergedMC",56,75.823,9.359,"P","0297-0220",201,280,"WT","SW",1
"57",57,"z1-z10_SW-RW9-1.3-Map128_MergedMC",57,85.141,6.375,"P","0319-0157",138,299,"WT","SW",1
"58",58,"z1-z10_SW-RW9-1.3-Map128_MergedMC",58,53.276,3.912,"P","0327-0309",292,302,"WT","SW",1
"59",59,"z1-z10_SW-RW9-1.3-Map128_MergedMC",59,58.326,8.284,"P","0321-0260",244,305,"WT","SW",1
"60",60,"z1-z10_SW-RW9-1.3-Map128_MergedMC",60,41.966,2.829,"P","0326-0196",184,309,"WT","SW",1
"61",61,"z1-z10_SW-RW9-1.3-Map128_MergedMC",61,72.409,9.877,"P","0328-0075",56,310,"WT","SW",1
"62",62,"z1-z10_SW-RW9-1.3-Map128_MergedMC",62,71.271,9.969,"P","0337-0040",21,320,"WT","SW",1
"63",63,"z1-z10_SW-RW9-1.3-Map128_MergedMC",63,53.773,13.315,"P","0338-0325",311,320,"WT","SW",1
"64",64,"z1-z10_SW-RW9-1.3-Map128_MergedMC",64,61.526,8.21,"P","0341-0228",211,325,"WT","SW",1
"65",65,"z1-z10_SW-RW9-1.3-Map128_MergedMC",65,21.196,2.272,"P","0347-0294",285,335,"WT","SW",1
"66",66,"z1-z10_SW-RW9-1.3-Map128_MergedMC",66,32.008,1.976,"P","0366-0024",14,353,"WT","SW",1
"67",67,"z1-z10_SW-RW9-1.3-Map128_MergedMC",67,67.288,6.402,"P","0375-0323",306,357,"WT","SW",1
"68",68,"z1-z10_SW-RW9-1.3-Map128_MergedMC",68,39.263,2.089,"P","0376-0053",41,361,"WT","SW",1
"69",69,"z1-z10_SW-RW9-1.3-Map128_MergedMC",69,81.371,28.15,"P","0382-0081",58,365,"WT","SW",1
"70",70,"z1-z10_SW-RW9-1.3-Map128_MergedMC",70,40.828,3.986,"P","0388-0279",263,377,"WT","SW",1
"71",71,"z1-z10_SW-RW9-1.3-Map128_MergedMC",71,45.38,6.967,"P","0389-0148",130,379,"WT","SW",1
"72",72,"z1-z10_SW-RW9-1.3-Map128_MergedMC",72,29.234,8.406,"P","0391-0348",332,383,"WT","SW",1
"73",73,"z1-z10_SW-RW9-1.3-Map128_MergedMC",73,9.887,5.201,"P","0393-0234",226,387,"WT","SW",1
"74",74,"z1-z10_SW-RW9-1.3-Map128_MergedMC",74,9.46,4.729,"P","0393-0201",194,388,"WT","SW",1
"75",75,"z1-z10_SW-RW9-1.3-Map128_MergedMC",75,28.665,3.747,"P","0135-0265",255,123,"WT","SW",1
