"","X","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_9_label"
"1",411,"z8-z17_NH-RW9-1.4-Map128_MergedMC",1,16.786,26.178,"P","0004-0091",74,0,"HET","NH",0.333333333333333
"2",412,"z8-z17_NH-RW9-1.4-Map128_MergedMC",2,111.815,2.805,"N","0023-0153",131,0,"HET","NH",0.555555555555556
"3",413,"z8-z17_NH-RW9-1.4-Map128_MergedMC",3,39.832,13.341,"P","0013-0189",176,0,"HET","NH",0.444444444444444
"4",414,"z8-z17_NH-RW9-1.4-Map128_MergedMC",4,12.163,2.216,"N","0004-0220",206,0,"HET","NH",0.444444444444444
"5",415,"z8-z17_NH-RW9-1.4-Map128_MergedMC",5,77.602,3.413,"N","0018-0332",314,0,"HET","NH",0
"6",416,"z8-z17_NH-RW9-1.4-Map128_MergedMC",6,79.522,1.377,"N","0020-0042",24,1,"HET","NH",0.333333333333333
"7",417,"z8-z17_NH-RW9-1.4-Map128_MergedMC",7,64.229,2.93,"N","0031-0238",221,11,"HET","NH",0.444444444444444
"8",418,"z8-z17_NH-RW9-1.4-Map128_MergedMC",8,18.494,2.712,"N","0039-0006",0,26,"HET","NH",0.111111111111111
"9",419,"z8-z17_NH-RW9-1.4-Map128_MergedMC",9,82.367,2.109,"N","0051-0381",364,30,"HET","NH",0.111111111111111
"10",420,"z8-z17_NH-RW9-1.4-Map128_MergedMC",10,97.447,9.082,"P","0048-0190",159,31,"HET","NH",0.444444444444444
"11",421,"z8-z17_NH-RW9-1.4-Map128_MergedMC",11,110.677,2.168,"N","0064-0074",57,36,"HET","NH",0.333333333333333
"12",422,"z8-z17_NH-RW9-1.4-Map128_MergedMC",12,71.342,2.193,"N","0059-0126",108,41,"HET","NH",0.666666666666667
"13",423,"z8-z17_NH-RW9-1.4-Map128_MergedMC",13,78.455,2.453,"N","0057-0319",298,41,"HET","NH",0
"14",424,"z8-z17_NH-RW9-1.4-Map128_MergedMC",14,90.334,2.837,"N","0073-0248",226,54,"HET","NH",0.444444444444444
"15",425,"z8-z17_NH-RW9-1.4-Map128_MergedMC",15,101.43,4.518,"P","0075-0185",161,55,"HET","NH",0.444444444444444
"16",426,"z8-z17_NH-RW9-1.4-Map128_MergedMC",16,61.455,2.046,"N","0080-0013",0,61,"HET","NH",0.222222222222222
