"","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_1_label"
"1","z15-z24_SH-RW10-2.2-Map127_MergedMC",1,73.547,1000.766,"P","0016-0135",36.215,3.984,"HET","SH",0
"2","z15-z24_SH-RW10-2.2-Map127_MergedMC",2,15.15,86.573,"N","0005-0319",85.127,1.195,"HET","SH",0
"3","z15-z24_SH-RW10-2.2-Map127_MergedMC",3,59.179,86.899,"N","0021-0373",99.692,5.673,"HET","SH",0
"4","z15-z24_SH-RW10-2.2-Map127_MergedMC",4,80.66,102.032,"N","0031-0180",48.078,8.407,"HET","SH",1
"5","z15-z24_SH-RW10-2.2-Map127_MergedMC",5,96.878,884.786,"P","0035-0282",75.436,9.251,"HET","SH",0
"6","z15-z24_SH-RW10-2.2-Map127_MergedMC",6,97.518,97.036,"N","0044-0244",65.489,12.181,"HET","SH",1
"7","z15-z24_SH-RW10-2.2-Map127_MergedMC",7,45.665,162.59,"N","0038-0066",17.83,10.207,"HET","SH",1
"8","z15-z24_SH-RW10-2.2-Map127_MergedMC",8,54.627,93.109,"N","0043-0327",87.318,11.93,"HET","SH",0
"9","z15-z24_SH-RW10-2.2-Map127_MergedMC",9,83.719,1664.825,"P","0074-0191",51.209,19.942,"HET","SH",0
"10","z15-z24_SH-RW10-2.2-Map127_MergedMC",10,71.413,140.439,"N","0071-0078",20.658,18.946,"HET","SH",0
"11","z15-z24_SH-RW10-2.2-Map127_MergedMC",11,48.012,95.553,"N","0069-0295",78.606,18.446,"HET","SH",1
"12","z15-z24_SH-RW10-2.2-Map127_MergedMC",12,39.69,137.995,"N","0077-0340",90.94,20.238,"HET","SH",0
"13","z15-z24_SH-RW10-2.2-Map127_MergedMC",13,16.502,602.379,"P","0079-0393",105.261,21.368,"HET","SH",0
"14","z15-z24_SH-RW10-2.2-Map127_MergedMC",14,106.48,1167.78,"P","0108-0302",80.612,28.739,"HET","SH",1
"15","z15-z24_SH-RW10-2.2-Map127_MergedMC",15,41.397,109.258,"N","0113-0387",103.834,30.149,"HET","SH",1
"16","z15-z24_SH-RW10-2.2-Map127_MergedMC",16,89.622,3870.176,"P","0128-0360",95.926,33.994,"HET","SH",0
"17","z15-z24_SH-RW10-2.2-Map127_MergedMC",17,112.313,1349.711,"P","0134-0070",18.714,36.112,"HET","SH",0
"18","z15-z24_SH-RW10-2.2-Map127_MergedMC",18,30.514,99.671,"N","0135-0103",27.488,36.03,"HET","SH",1
"19","z15-z24_SH-RW10-2.2-Map127_MergedMC",19,85.141,1287.986,"P","0148-0305",81.939,39.134,"HET","SH",1
"20","z15-z24_SH-RW10-2.2-Map127_MergedMC",20,53.773,99.384,"N","0145-0015",3.988,38.912,"HET","SH",1
