"","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_3_label"
"1","z41-z50_SW-RW9-1.2-Map128_MergedMC",1,111.672,871.91,"P","0020-0182",48.855,4.998,"WT","SW",0.666666666666667
"2","z41-z50_SW-RW9-1.2-Map128_MergedMC",2,5.619,1362.886,"P","0004-0220",58.703,0.933,"WT","SW",1
"3","z41-z50_SW-RW9-1.2-Map128_MergedMC",3,86.92,925.348,"P","0016-0247",66.33,3.914,"WT","SW",1
"4","z41-z50_SW-RW9-1.2-Map128_MergedMC",4,42.322,3379.491,"P","0010-0319",85.153,2.438,"WT","SW",0.666666666666667
"5","z41-z50_SW-RW9-1.2-Map128_MergedMC",5,38.765,688.378,"P","0014-0385",102.95,3.441,"WT","SW",0.333333333333333
"6","z41-z50_SW-RW9-1.2-Map128_MergedMC",6,38.836,325.709,"N","0027-0014",3.063,7.664,"WT","SW",0.333333333333333
"7","z41-z50_SW-RW9-1.2-Map128_MergedMC",7,74.685,879.094,"P","0048-0039",10.341,12.968,"WT","SW",0
"8","z41-z50_SW-RW9-1.2-Map128_MergedMC",8,35.778,223.481,"N","0043-0354",94.563,11.64,"WT","SW",1
"9","z41-z50_SW-RW9-1.2-Map128_MergedMC",9,75.112,310.737,"N","0085-0145",38.726,22.716,"WT","SW",0.666666666666667
"10","z41-z50_SW-RW9-1.2-Map128_MergedMC",10,20.556,327.664,"N","0098-0004",0.983,26.945,"WT","SW",0.666666666666667
"11","z41-z50_SW-RW9-1.2-Map128_MergedMC",11,97.447,3365.005,"P","0100-0251",66.952,26.986,"WT","SW",0.666666666666667
"12","z41-z50_SW-RW9-1.2-Map128_MergedMC",12,105.698,3003.182,"P","0104-0078",20.904,28.077,"WT","SW",0.333333333333333
"13","z41-z50_SW-RW9-1.2-Map128_MergedMC",13,34.426,191.926,"N","0113-0202",53.968,30.076,"WT","SW",0.666666666666667
"14","z41-z50_SW-RW9-1.2-Map128_MergedMC",14,88.627,837.144,"P","0125-0299",80.016,33.318,"WT","SW",1
"15","z41-z50_SW-RW9-1.2-Map128_MergedMC",15,72.196,852.886,"P","0130-0017",4.436,34.862,"WT","SW",0
"16","z41-z50_SW-RW9-1.2-Map128_MergedMC",16,85.995,674.586,"P","0134-0175",46.59,36.011,"WT","SW",0.333333333333333
"17","z41-z50_SW-RW9-1.2-Map128_MergedMC",17,39.974,174.208,"N","0145-0385",103.023,38.826,"WT","SW",1
"18","z41-z50_SW-RW9-1.2-Map128_MergedMC",18,73.476,430.899,"P","0155-0368",98.08,42.014,"WT","SW",0.666666666666667
"19","z41-z50_SW-RW9-1.2-Map128_MergedMC",19,69.493,279.807,"N","0153-0074",19.793,40.693,"WT","SW",1
"20","z41-z50_SW-RW9-1.2-Map128_MergedMC",20,104.204,1187.201,"P","0164-0136",36.413,43.248,"WT","SW",0.333333333333333
"21","z41-z50_SW-RW9-1.2-Map128_MergedMC",21,103.706,987.871,"P","0181-0311",83.303,48.471,"WT","SW",1
"22","z41-z50_SW-RW9-1.2-Map128_MergedMC",22,41.255,221.012,"N","0193-0010",2.662,51.545,"WT","SW",0.666666666666667
"23","z41-z50_SW-RW9-1.2-Map128_MergedMC",23,96.878,1097.043,"P","0239-0346",93.003,63.297,"WT","SW",1
"24","z41-z50_SW-RW9-1.2-Map128_MergedMC",24,112.241,886.822,"P","0248-0117",31.673,65.668,"WT","SW",0.666666666666667
"25","z41-z50_SW-RW9-1.2-Map128_MergedMC",25,12.376,691.414,"P","0249-0394",105.475,66.609,"WT","SW",1
"26","z41-z50_SW-RW9-1.2-Map128_MergedMC",26,71.2,2057.396,"P","0262-0331",88.286,70.169,"WT","SW",1
"27","z41-z50_SW-RW9-1.2-Map128_MergedMC",27,25.322,174.812,"N","0256-0192",51.32,68.412,"WT","SW",1
"28","z41-z50_SW-RW9-1.2-Map128_MergedMC",28,94.459,2373.831,"P","0276-0061",16.403,73.48,"WT","SW",1
"29","z41-z50_SW-RW9-1.2-Map128_MergedMC",29,65.865,778.632,"P","0282-0014",3.326,74.948,"WT","SW",0.666666666666667
"30","z41-z50_SW-RW9-1.2-Map128_MergedMC",30,84.501,681.198,"P","0284-0248",66.499,75.842,"WT","SW",0.333333333333333
"31","z41-z50_SW-RW9-1.2-Map128_MergedMC",31,59.677,754.708,"P","0289-0194",51.972,76.9,"WT","SW",0.666666666666667
"32","z41-z50_SW-RW9-1.2-Map128_MergedMC",32,82.296,943.691,"P","0295-0158",42.112,78.797,"WT","SW",0.666666666666667
"33","z41-z50_SW-RW9-1.2-Map128_MergedMC",33,111.886,736.516,"P","0345-0330",88.351,91.878,"WT","SW",1
"34","z41-z50_SW-RW9-1.2-Map128_MergedMC",34,34.213,141.522,"N","0345-0249",66.538,92.151,"WT","SW",1
"35","z41-z50_SW-RW9-1.2-Map128_MergedMC",35,23.046,784.577,"P","0353-0299",79.947,94.405,"WT","SW",1
"36","z41-z50_SW-RW9-1.2-Map128_MergedMC",36,29.305,200.403,"N","0364-0191",51.118,96.997,"WT","SW",0.666666666666667
"37","z41-z50_SW-RW9-1.2-Map128_MergedMC",37,47.727,827.291,"P","0374-0254",67.709,99.22,"WT","SW",0.666666666666667
"38","z41-z50_SW-RW9-1.2-Map128_MergedMC",38,47.585,632.8,"P","0375-0276",73.417,100.525,"WT","SW",0.666666666666667
"39","z41-z50_SW-RW9-1.2-Map128_MergedMC",39,53.631,1512.822,"P","0387-0127",33.681,103.75,"WT","SW",0.666666666666667
"40","z41-z50_SW-RW9-1.2-Map128_MergedMC",40,34.64,682.172,"P","0390-0052",13.883,104.55,"WT","SW",1
"41","z41-z50_SW-RW9-1.2-Map128_MergedMC",41,32.008,498.922,"P","0390-0378",100.574,104.533,"WT","SW",1
"42","z41-z50_SW-RW9-1.2-Map128_MergedMC",42,50.715,424.028,"N","0210-0220",58.618,56.238,"WT","SW",0.666666666666667
"43","z41-z50_SW-RW9-1.2-Map128_MergedMC",43,98.585,995.919,"P","0223-0202",53.122,60.588,"WT","SW",0.333333333333333
"44","z41-z50_SW-RW9-1.2-Map128_MergedMC",44,73.618,291.454,"P","0248-0023",6.814,65.902,"WT","SW",0.666666666666667
"45","z41-z50_SW-RW9-1.2-Map128_MergedMC",45,43.744,210.585,"N","0072-0063",16.967,19.324,"WT","SW",0.666666666666667
