"","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_1_label"
"1","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",1,16.075,169.606,"P","0006-0039",10.869,1.263,"HET","NH",0
"2","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",3,28.878,269.815,"P","0008-0164",44.666,1.845,"HET","NH",1
"3","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",4,79.878,160.858,"N","0019-0274",73.207,4.771,"HET","NH",1
"4","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",5,23.33,108.195,"N","0006-0343",92.157,1.491,"HET","NH",0
"5","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",6,73.049,128.479,"N","0029-0015",3.992,7.775,"HET","NH",1
"6","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",7,86.422,1475.817,"P","0028-0225",59.942,7.583,"HET","NH",1
"7","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",8,49.577,79.664,"N","0033-0387",103.639,9.047,"HET","NH",1
"8","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",9,38.125,410.274,"P","0034-0144",38.584,9,"HET","NH",1
"9","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",10,92.254,1687.409,"P","0055-0126",33.581,14.901,"HET","NH",1
"10","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",11,79.095,116.672,"P","0054-0042",10.977,14.221,"HET","NH",0
"11","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",12,83.434,1595.958,"P","0064-0229",61.294,17.028,"HET","NH",1
"12","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",13,16.217,97.772,"P","0058-0388",103.82,15.36,"HET","NH",0
"13","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",14,77.815,113.168,"N","0071-0160",43.003,18.972,"HET","NH",1
"14","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",15,82.225,120.481,"P","0087-0307",81.694,23.265,"HET","NH",0
"15","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",16,86.422,148.067,"N","0092-0250",67.055,24.775,"HET","NH",1
"16","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",17,58.752,105.467,"P","0089-0020",5.406,23.619,"HET","NH",1
"17","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",18,73.049,899.731,"N","0096-0383",102.635,25.422,"HET","NH",1
"18","z13-23_MAX_16-bit_NH-LW8-2.2-Map126_561-60_G150_E100",19,48.51,143.805,"P","0089-0063",17.24,23.646,"HET","NH",1
