"","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_3_label"
"1","z29-z38_SH-RW10-1.2-Map127_MergedMC",1,55.552,153.312,"N","0013-0044",11.732,3.066,"HET","SH",0.333333333333333
"2","z29-z38_SH-RW10-1.2-Map127_MergedMC",2,48.083,432.608,"P","0015-0381",101.567,3.513,"HET","SH",0.666666666666667
"3","z29-z38_SH-RW10-1.2-Map127_MergedMC",3,38.694,185.04,"N","0014-0143",38.437,3.803,"HET","SH",0
"4","z29-z38_SH-RW10-1.2-Map127_MergedMC",4,75.823,1169.334,"P","0027-0286",75.929,7.078,"HET","SH",0.333333333333333
"5","z29-z38_SH-RW10-1.2-Map127_MergedMC",5,67.43,147.118,"N","0035-0320",85.397,9.424,"HET","SH",0.333333333333333
"6","z29-z38_SH-RW10-1.2-Map127_MergedMC",6,46.447,245.222,"N","0030-0188",50.362,7.783,"HET","SH",0
"7","z29-z38_SH-RW10-1.2-Map127_MergedMC",7,48.652,159.405,"N","0040-0025",7.012,10.494,"HET","SH",0.333333333333333
"8","z29-z38_SH-RW10-1.2-Map127_MergedMC",8,29.732,298.83,"N","0037-0212",56.706,9.793,"HET","SH",0
"9","z29-z38_SH-RW10-1.2-Map127_MergedMC",9,72.694,127.715,"N","0050-0093",25.004,13.314,"HET","SH",0.333333333333333
"10","z29-z38_SH-RW10-1.2-Map127_MergedMC",10,49.79,202.071,"N","0059-0300",79.964,15.972,"HET","SH",0.333333333333333
"11","z29-z38_SH-RW10-1.2-Map127_MergedMC",11,83.007,661.817,"P","0083-0360",96.163,22.477,"HET","SH",0
"12","z29-z38_SH-RW10-1.2-Map127_MergedMC",12,68.497,106.401,"N","0086-0227",60.728,22.929,"HET","SH",0
"13","z29-z38_SH-RW10-1.2-Map127_MergedMC",13,66.648,937.315,"P","0090-0062",16.69,23.898,"HET","SH",0
"14","z29-z38_SH-RW10-1.2-Map127_MergedMC",14,66.079,170.108,"N","0110-0319",85.05,29.453,"HET","SH",0.333333333333333
"15","z29-z38_SH-RW10-1.2-Map127_MergedMC",15,15.293,164.991,"N","0102-0277",73.963,27.608,"HET","SH",0
"16","z29-z38_SH-RW10-1.2-Map127_MergedMC",16,56.263,218.058,"N","0125-0177",47.594,33.276,"HET","SH",0
"17","z29-z38_SH-RW10-1.2-Map127_MergedMC",17,70.631,139.129,"N","0130-0031",8.122,34.69,"HET","SH",0.333333333333333
"18","z29-z38_SH-RW10-1.2-Map127_MergedMC",18,86.848,117.239,"N","0139-0291",77.795,37.158,"HET","SH",0.333333333333333
"19","z29-z38_SH-RW10-1.2-Map127_MergedMC",19,49.292,186.391,"N","0137-0157",41.677,36.688,"HET","SH",0
