"","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_1_label"
"1","z5-z14_NW-RW10-2.3-Map128_MergedMC",1,19.489,159.445,"N","0006-0037",10.353,1.531,"WT","NW",0
"2","z5-z14_NW-RW10-2.3-Map128_MergedMC",2,46.092,912.551,"P","0011-0139",37.219,2.504,"WT","NW",1
"3","z5-z14_NW-RW10-2.3-Map128_MergedMC",3,77.815,665.867,"P","0015-0212",56.61,3.647,"WT","NW",1
"4","z5-z14_NW-RW10-2.3-Map128_MergedMC",4,49.221,513.179,"P","0010-0278",74.312,2.373,"WT","NW",1
"5","z5-z14_NW-RW10-2.3-Map128_MergedMC",5,49.861,179.228,"N","0021-0016",4.375,5.482,"WT","NW",0
"6","z5-z14_NW-RW10-2.3-Map128_MergedMC",6,80.874,1965.396,"P","0030-0167",44.545,8.085,"WT","NW",1
"7","z5-z14_NW-RW10-2.3-Map128_MergedMC",7,39.761,117.077,"N","0024-0057",15.385,6.309,"WT","NW",0
"8","z5-z14_NW-RW10-2.3-Map128_MergedMC",8,86.279,492.455,"P","0043-0263",70.202,11.712,"WT","NW",1
"9","z5-z14_NW-RW10-2.3-Map128_MergedMC",9,86.493,586.677,"P","0046-0202",54.217,12.489,"WT","NW",0
"10","z5-z14_NW-RW10-2.3-Map128_MergedMC",10,96.095,441.366,"P","0062-0348",92.843,16.642,"WT","NW",1
"11","z5-z14_NW-RW10-2.3-Map128_MergedMC",11,119.852,2094.235,"P","0076-0156",41.57,20.209,"WT","NW",0
"12","z5-z14_NW-RW10-2.3-Map128_MergedMC",12,89.836,668.745,"P","0082-0116",31.318,21.924,"WT","NW",1
"13","z5-z14_NW-RW10-2.3-Map128_MergedMC",13,49.719,285.106,"N","0078-0222",59.185,20.633,"WT","NW",1
"14","z5-z14_NW-RW10-2.3-Map128_MergedMC",14,28.736,73.592,"N","0076-0192",51.207,20.428,"WT","NW",0
"15","z5-z14_NW-RW10-2.3-Map128_MergedMC",15,62.38,732.878,"P","0087-0239",64.536,23.963,"WT","NW",0
"16","z5-z14_NW-RW10-2.3-Map128_MergedMC",16,62.522,2530.091,"P","0091-0043",11.8,24.091,"WT","NW",1
"17","z5-z14_NW-RW10-2.3-Map128_MergedMC",17,89.338,775.401,"P","0109-0195",52.354,29.298,"WT","NW",1
"18","z5-z14_NW-RW10-2.3-Map128_MergedMC",18,77.602,585.152,"P","0110-0103",27.231,29.757,"WT","NW",1
"19","z5-z14_NW-RW10-2.3-Map128_MergedMC",19,53.418,441.446,"P","0114-0011",2.67,30.314,"WT","NW",1
"20","z5-z14_NW-RW10-2.3-Map128_MergedMC",20,63.091,236.382,"N","0111-0311",83.121,29.687,"WT","NW",1
"21","z5-z14_NW-RW10-2.3-Map128_MergedMC",21,64.087,444.364,"P","0116-0164",43.811,31.256,"WT","NW",0
"22","z5-z14_NW-RW10-2.3-Map128_MergedMC",22,83.648,545.963,"P","0120-0349",93.209,32.184,"WT","NW",0
"23","z5-z14_NW-RW10-2.3-Map128_MergedMC",23,71.556,176.19,"N","0135-0133",35.402,35.92,"WT","NW",1
"24","z5-z14_NW-RW10-2.3-Map128_MergedMC",24,47.087,207.092,"N","0154-0354",94.896,41.315,"WT","NW",1
"25","z5-z14_NW-RW10-2.3-Map128_MergedMC",25,118.003,1398.612,"P","0168-0069",18.842,44.814,"WT","NW",1
"26","z5-z14_NW-RW10-2.3-Map128_MergedMC",26,90.974,559.352,"P","0170-0257",68.471,45.336,"WT","NW",1
"27","z5-z14_NW-RW10-2.3-Map128_MergedMC",27,87.417,810.247,"P","0195-0279",74.876,52.163,"WT","NW",1
"28","z5-z14_NW-RW10-2.3-Map128_MergedMC",28,72.765,484.559,"P","0216-0246",65.46,57.886,"WT","NW",1
"29","z5-z14_NW-RW10-2.3-Map128_MergedMC",29,101.643,708.338,"P","0221-0085",22.861,58.984,"WT","NW",1
"30","z5-z14_NW-RW10-2.3-Map128_MergedMC",30,45.025,222.49,"N","0241-0158",42.366,64.773,"WT","NW",1
"31","z5-z14_NW-RW10-2.3-Map128_MergedMC",31,39.548,165.908,"N","0253-0222",59.571,67.371,"WT","NW",0
"32","z5-z14_NW-RW10-2.3-Map128_MergedMC",32,30.941,79.623,"N","0255-0011",2.54,67.789,"WT","NW",0
"33","z5-z14_NW-RW10-2.3-Map128_MergedMC",33,28.523,180.638,"N","0259-0209",55.207,69.5,"WT","NW",0
"34","z5-z14_NW-RW10-2.3-Map128_MergedMC",34,37.129,398.843,"N","0268-0389",104.319,71.443,"WT","NW",1
"35","z5-z14_NW-RW10-2.3-Map128_MergedMC",35,23.828,91.433,"N","0267-0019",5.769,71.31,"WT","NW",0
"36","z5-z14_NW-RW10-2.3-Map128_MergedMC",36,105.271,925.803,"P","0277-0174",46.334,73.985,"WT","NW",0
"37","z5-z14_NW-RW10-2.3-Map128_MergedMC",37,21.125,664.354,"P","0282-0007",1.626,75.38,"WT","NW",0
"38","z5-z14_NW-RW10-2.3-Map128_MergedMC",38,93.535,692.613,"P","0293-0127",34.221,78.462,"WT","NW",1
"39","z5-z14_NW-RW10-2.3-Map128_MergedMC",39,86.92,614.244,"P","0294-0245",65.31,78.488,"WT","NW",0
"40","z5-z14_NW-RW10-2.3-Map128_MergedMC",40,88.271,472.175,"P","0315-0350",93.502,84.058,"WT","NW",1
"41","z5-z14_NW-RW10-2.3-Map128_MergedMC",41,26.816,149.098,"N","0312-0083",22.177,83.274,"WT","NW",0
"42","z5-z14_NW-RW10-2.3-Map128_MergedMC",42,100.79,2264.8,"P","0330-0191",50.602,88.187,"WT","NW",1
"43","z5-z14_NW-RW10-2.3-Map128_MergedMC",43,76.321,177.804,"N","0341-0090",24.229,91.227,"WT","NW",0
"44","z5-z14_NW-RW10-2.3-Map128_MergedMC",44,95.384,480.282,"P","0356-0220",58.973,95.234,"WT","NW",1
"45","z5-z14_NW-RW10-2.3-Map128_MergedMC",45,17.284,107.333,"N","0355-0392",104.847,94.978,"WT","NW",1
"46","z5-z14_NW-RW10-2.3-Map128_MergedMC",46,95.17,718,"P","0377-0262",69.86,100.745,"WT","NW",1
"47","z5-z14_NW-RW10-2.3-Map128_MergedMC",47,91.045,441.493,"P","0379-0100",26.645,101.012,"WT","NW",0
"48","z5-z14_NW-RW10-2.3-Map128_MergedMC",48,20.556,157.003,"N","0370-0123",33.279,98.743,"WT","NW",1
"49","z5-z14_NW-RW10-2.3-Map128_MergedMC",49,86.777,382.7,"P","0380-0367",97.902,101.674,"WT","NW",1
"50","z5-z14_NW-RW10-2.3-Map128_MergedMC",50,43.815,528.628,"P","0384-0014",3.758,102.546,"WT","NW",0
"51","z5-z14_NW-RW10-2.3-Map128_MergedMC",51,25.749,149.348,"N","0383-0052",14.085,102.27,"WT","NW",1
"52","z5-z14_NW-RW10-2.3-Map128_MergedMC",52,36.347,152.301,"N","0388-0163",43.596,103.476,"WT","NW",0
"53","z5-z14_NW-RW10-2.3-Map128_MergedMC",53,16.929,447.887,"P","0392-0334",89.285,104.749,"WT","NW",1
"54","z5-z14_NW-RW10-2.3-Map128_MergedMC",54,79.451,702.958,"P","0262-0328",87.939,70.652,"WT","NW",1
"55","z5-z14_NW-RW10-2.3-Map128_MergedMC",55,75.966,789.006,"P","0248-0307",81.737,65.802,"WT","NW",1
"56","z5-z14_NW-RW10-2.3-Map128_MergedMC",56,121.559,1888.065,"P","0167-0152",40.918,44.965,"WT","NW",0
"57","z5-z14_NW-RW10-2.3-Map128_MergedMC",57,17.071,214.292,"N","0149-0168",45.609,39.165,"WT","NW",1
