"","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_21_label"
"1","z16-z25_MAX_16-bit_NH-RW9-1.2-Map128_561-60_G150_E100",1,96.806,340.09,"P","0017-0204",54.061,4.627,"HET","NH",0.428571428571429
"2","z16-z25_MAX_16-bit_NH-RW9-1.2-Map128_561-60_G150_E100",2,73.476,240.018,"P","0017-0255",67.871,4.084,"HET","NH",0.380952380952381
"3","z16-z25_MAX_16-bit_NH-RW9-1.2-Map128_561-60_G150_E100",3,58.681,400.532,"P","0013-0318",84.817,3.218,"HET","NH",0.428571428571429
"4","z16-z25_MAX_16-bit_NH-RW9-1.2-Map128_561-60_G150_E100",4,15.506,120.165,"N","0031-0031",8.444,8.536,"HET","NH",0.238095238095238
"5","z16-z25_MAX_16-bit_NH-RW9-1.2-Map128_561-60_G150_E100",5,41.184,89.359,"N","0047-0066",17.753,12.682,"HET","NH",0.285714285714286
"6","z16-z25_MAX_16-bit_NH-RW9-1.2-Map128_561-60_G150_E100",6,49.15,126.991,"N","0050-0125",33.342,13.97,"HET","NH",0.380952380952381
"7","z16-z25_MAX_16-bit_NH-RW9-1.2-Map128_561-60_G150_E100",7,36.205,406.012,"N","0065-0305",81.462,16.929,"HET","NH",0.476190476190476
"8","z16-z25_MAX_16-bit_NH-RW9-1.2-Map128_561-60_G150_E100",8,39.05,144.645,"N","0060-0246",65.487,16.294,"HET","NH",0.428571428571429
"9","z16-z25_MAX_16-bit_NH-RW9-1.2-Map128_561-60_G150_E100",9,124.262,719.186,"P","0067-0355",95.058,17.725,"HET","NH",0.476190476190476
"10","z16-z25_MAX_16-bit_NH-RW9-1.2-Map128_561-60_G150_E100",10,40.472,495.645,"P","0070-0267",71.174,18.84,"HET","NH",0.428571428571429
"11","z16-z25_MAX_16-bit_NH-RW9-1.2-Map128_561-60_G150_E100",11,47.087,233.438,"P","0074-0185",49.435,19.557,"HET","NH",0.333333333333333
"12","z16-z25_MAX_16-bit_NH-RW9-1.2-Map128_561-60_G150_E100",12,80.447,272.177,"N","0088-0290",77.07,24.27,"HET","NH",0.476190476190476
"13","z16-z25_MAX_16-bit_NH-RW9-1.2-Map128_561-60_G150_E100",13,55.481,581.124,"P","0095-0204",54.969,24.829,"HET","NH",0.333333333333333
"14","z16-z25_MAX_16-bit_NH-RW9-1.2-Map128_561-60_G150_E100",14,57.828,223.081,"N","0099-0039",10.443,26.253,"HET","NH",0.238095238095238
