"","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_21_label"
"1","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",1,27.954,1371.723,"P","0007-0101",27.215,1.776,"HET","NH",0.666666666666667
"2","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",2,42.322,151.318,"N","0014-0200",53.847,4.12,"HET","NH",0.714285714285714
"3","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",3,91.756,1056.608,"P","0034-0335",89.451,9.361,"HET","NH",0.666666666666667
"4","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",4,71.058,522.007,"P","0033-0235",62.978,9.003,"HET","NH",0.666666666666667
"5","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",5,36.418,434.16,"P","0037-0193",51.476,9.848,"HET","NH",0.714285714285714
"6","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",6,82.865,4577.388,"P","0056-0026",6.878,14.577,"HET","NH",0.714285714285714
"7","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",7,67.572,136.215,"N","0062-0215",57.803,16.677,"HET","NH",0.714285714285714
"8","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",8,89.836,924.914,"P","0068-0300",80.611,17.837,"HET","NH",0.666666666666667
"9","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",9,101.216,1470.298,"P","0068-0101",26.993,17.991,"HET","NH",0.666666666666667
"10","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",10,122.057,4368.802,"P","0079-0054",14.551,21.16,"HET","NH",0.714285714285714
"11","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",11,50.004,175.929,"N","0082-0190",50.975,21.893,"HET","NH",0.761904761904762
"12","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",12,58.895,184.86,"N","0085-0363",96.649,22.766,"HET","NH",0.714285714285714
"13","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",13,77.459,1191.228,"P","0094-0284",75.562,25.349,"HET","NH",0.714285714285714
"14","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",14,75.326,255.556,"N","0108-0235",62.662,28.683,"HET","NH",0.714285714285714
"15","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",15,73.192,176.588,"P","0111-0131",35.303,29.637,"HET","NH",0.666666666666667
"16","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",16,94.886,5846.638,"P","0130-0318",84.939,34.788,"HET","NH",0.666666666666667
"17","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",17,50.217,119.217,"N","0130-0244",65.808,35.188,"HET","NH",0.761904761904762
"18","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",18,142.756,1459.289,"P","0143-0075",20.077,38.189,"HET","NH",0.80952380952381
"19","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",19,75.468,1052.336,"P","0137-0289",76.894,36.754,"HET","NH",0.666666666666667
"20","z31-z40_MAX_16-bit_NH-LW8-1.2-Map127_561-60_G150_E100",20,74.756,1038.407,"P","0135-0382",102.062,36.062,"HET","NH",0.666666666666667
