"","image","roi","area","mean","mecp2_p","id","x","y","condition","condition_spec","knn_5_label"
"1","z6-z15_NW-LW9-1.4-Map128_MergedMC",1,83.434,729.797,"P","0016-0026",7.299,3.969,"WT","NW",0.6
"2","z6-z15_NW-LW9-1.4-Map128_MergedMC",2,89.48,723.919,"P","0017-0217",57.815,4.442,"WT","NW",0.8
"3","z6-z15_NW-LW9-1.4-Map128_MergedMC",3,124.12,2371.091,"P","0033-0272",72.177,8.64,"WT","NW",0.6
"4","z6-z15_NW-LW9-1.4-Map128_MergedMC",4,65.154,291.674,"P","0035-0352",93.838,9.326,"WT","NW",0.8
"5","z6-z15_NW-LW9-1.4-Map128_MergedMC",5,36.774,248.934,"N","0035-0073",19.986,9.468,"WT","NW",1
"6","z6-z15_NW-LW9-1.4-Map128_MergedMC",6,42.322,346.323,"P","0046-0122",32.791,12.155,"WT","NW",0.8
"7","z6-z15_NW-LW9-1.4-Map128_MergedMC",7,145.174,1082.164,"P","0053-0179",48.004,14.297,"WT","NW",0.8
"8","z6-z15_NW-LW9-1.4-Map128_MergedMC",8,83.79,553.885,"P","0057-0381",102.058,15.4,"WT","NW",0.8
"9","z6-z15_NW-LW9-1.4-Map128_MergedMC",9,73.761,1088.188,"P","0061-0083",22.345,16.27,"WT","NW",0.8
"10","z6-z15_NW-LW9-1.4-Map128_MergedMC",10,95.313,884.118,"P","0069-0037",10.379,17.991,"WT","NW",0.6
"11","z6-z15_NW-LW9-1.4-Map128_MergedMC",11,43.389,405.885,"N","0088-0018",4.323,23.666,"WT","NW",1
"12","z6-z15_NW-LW9-1.4-Map128_MergedMC",12,72.836,721.763,"P","0094-0382",102.201,25.265,"WT","NW",1
"13","z6-z15_NW-LW9-1.4-Map128_MergedMC",13,113.664,793.412,"P","0096-0337",89.707,25.581,"WT","NW",0.8
"14","z6-z15_NW-LW9-1.4-Map128_MergedMC",14,86.279,859.874,"P","0105-0189",50.31,28.214,"WT","NW",0.2
"15","z6-z15_NW-LW9-1.4-Map128_MergedMC",15,37.343,275.691,"N","0104-0219",58.379,27.663,"WT","NW",0.6
"16","z6-z15_NW-LW9-1.4-Map128_MergedMC",16,57.045,645.337,"P","0110-0068",18.139,29.18,"WT","NW",0.8
"17","z6-z15_NW-LW9-1.4-Map128_MergedMC",17,51.497,368.47,"P","0110-0020",5.461,29.586,"WT","NW",0.8
"18","z6-z15_NW-LW9-1.4-Map128_MergedMC",18,122.911,3738.057,"P","0130-0099",26.589,34.964,"WT","NW",0.6
"19","z6-z15_NW-LW9-1.4-Map128_MergedMC",19,136.994,930.834,"P","0143-0278",74.126,37.634,"WT","NW",0.6
"20","z6-z15_NW-LW9-1.4-Map128_MergedMC",20,69.208,706.609,"P","0141-0332",88.168,37.366,"WT","NW",1
"21","z6-z15_NW-LW9-1.4-Map128_MergedMC",21,20.983,194.349,"N","0134-0131",35.023,35.783,"WT","NW",0.8
"22","z6-z15_NW-LW9-1.4-Map128_MergedMC",22,65.439,1024.908,"P","0140-0017",4.518,37.331,"WT","NW",0.8
"23","z6-z15_NW-LW9-1.4-Map128_MergedMC",23,64.941,188.779,"N","0148-0165",43.699,39.65,"WT","NW",0.6
"24","z6-z15_NW-LW9-1.4-Map128_MergedMC",24,38.267,207.9,"N","0145-0246",65.843,38.614,"WT","NW",0.4
